"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","33.0","334.9","2.3","0.0","93.0"
"","low","19.5","194.1","0.7","1.0","35.4"
"Robert Tonyan","CHI","22.6","252.6","1.6","0.0","45.9"
"","high","32.0","337.8","3.0","0.0","87.5"
"","low","5.6","51.7","0.5","0.0","19.7"
"Donald Parham Jr.","LAC","18.6","226.9","1.4","0.0","40.4"
"","high","26.1","304.9","3.0","0.0","73.6"
"","low","8.6","95.0","0.1","0.0","22.6"
"Brock Wright","DET","17.3","176.9","2.0","0.0","38.6"
"","high","23.0","273.0","5.0","0.0","57.7"
"","low","11.3","126.6","0.9","0.0","28.0"
"Noah Gray","KC","18.8","218.9","1.0","0.0","38.2"
"","high","26.0","296.6","2.0","0.0","66.6"
"","low","6.9","68.6","0.0","0.0","20.0"
"Josiah Deguara","GB","22.4","200.1","1.1","0.0","38.0"
"","high","30.8","310.6","2.4","0.0","56.5"
"","low","15.3","133.4","0.0","0.0","29.2"
"Brenton Strange","JAC","22.6","193.4","1.3","0.4","37.6"
"","high","24.0","224.0","2.0","0.0","59.1"
"","low","21.2","172.7","0.4","1.0","36.3"
"Durham Smythe","MIA","20.8","207.7","1.0","0.0","37.4"
"","high","23.9","239.1","1.7","0.0","69.1"
"","low","18.3","162.9","0.0","0.0","33.9"
"Jordan Akins","CLE","17.4","218.4","1.0","0.2","36.2"
"","high","34.4","427.4","2.5","0.0","101.1"
"","low","6.9","75.9","0.0","0.5","18.9"
"Jimmy Graham","NO","19.0","190.9","1.2","0.1","35.8"
"","high","27.7","318.9","2.2","0.0","82.6"
"","low","10.3","104.9","0.4","0.1","26.1"
"Kylen Granson","IND","18.4","212.3","0.8","0.0","35.7"
"","high","25.0","275.9","1.8","0.0","70.4"
"","low","8.1","79.8","0.0","0.0","20.1"
"Jonnu Smith","ATL","17.0","203.3","1.0","0.0","35.5"
"","high","24.0","303.7","2.0","0.0","56.1"
"","low","13.1","131.0","0.0","0.0","28.4"
"C.J. Uzomah","NYJ","17.0","190.0","1.3","0.0","35.3"
"","high","25.0","262.0","3.0","0.0","66.0"
"","low","4.0","37.1","0.0","0.0","14.2"
"Foster Moreau","NO","15.5","226.1","1.0","0.4","35.3"
"","high","28.0","378.0","2.0","0.0","53.6"
"","low","3.9","44.7","0.3","1.0","14.0"
"Will Dissly","SEA","16.7","202.9","0.9","0.0","34.0"
"","high","23.4","289.7","1.7","0.0","67.1"
"","low","8.7","85.4","0.3","0.0","19.9"
"Tommy Tremble","CAR","16.7","159.3","1.6","0.5","33.4"
"","high","23.0","209.0","4.0","0.0","56.1"
"","low","7.2","68.2","0.5","1.0","18.4"
"Harrison Bryant","CLE","17.8","186.8","0.9","0.2","32.7"
"","high","24.0","248.5","1.6","0.0","66.3"
"","low","6.9","67.2","0.5","0.7","18.4"
"Brevin Jordan","HOU","16.0","196.3","0.6","0.0","30.9"
"","high","16.0","240.6","1.1","0.0","47.1"
"","low","16.0","152.0","0.0","0.0","29.9"
"Darnell Washington","PIT","13.8","187.4","0.7","0.4","29.4"
"","high","19.0","299.5","1.0","0.0","55.5"
"","low","8.6","83.6","0.6","1.0","20.9"
"Josh Oliver","MIN","15.1","150.4","1.1","0.0","29.1"
"","high","26.0","270.0","3.0","0.0","43.6"
"","low","4.1","36.7","0.0","0.0","13.3"
"Charlie Kolar","BAL","14.8","158.7","0.9","0.0","28.7"
"","high","19.5","227.0","1.3","0.0","57.3"
"","low","10.0","100.0","0.4","0.1","17.4"
"Colby Parkinson","SEA","14.0","167.3","0.7","0.0","28.2"
"","high","18.8","218.9","1.5","0.0","56.5"
"","low","8.3","80.8","0.0","0.0","17.9"
"Ian Thomas","CAR","16.5","153.2","0.7","0.0","27.8"
"","high","24.0","223.0","1.0","0.0","34.6"
"","low","11.1","107.2","0.0","0.0","27.3"
"Tucker Kraft","GB","12.8","165.1","0.9","0.4","27.7"
"","high","22.0","288.7","2.0","0.0","53.2"
"","low","3.8","39.1","0.3","1.0","12.1"
"Mo Alie-Cox","IND","12.0","165.9","1.0","0.5","27.7"
"","high","15.0","257.6","2.0","0.0","46.8"
"","low","10.0","110.6","0.5","1.0","23.0"
"Albert Okwuegbunam","DEN","11.1","166.9","1.0","0.3","27.7"
"","high","12.2","274.1","1.1","0.0","53.2"
"","low","10.0","103.0","0.9","0.5","15.6"
"Geoff Swaim","ARI","20.9","124.8","0.7","0.0","27.2"
"","high","20.9","174.1","1.4","0.0","36.3"
