"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Justin Jefferson","MIN","109.9","1,518.6","7.7","3.6","17.6","0.4","0.4","256.3"
"","high","124.6","1,684.2","10.2","4.2","23.5","1.0","0.0","338.2"
"","low","101.2","1,336.0","6.0","3.0","13.2","0.1","1.0","235.0"
"Ja'Marr Chase","CIN","108.3","1,374.4","9.8","6.2","26.5","0.1","1.1","251.7"
"","high","117.0","1,496.1","11.4","8.5","37.9","0.3","0.0","366.9"
"","low","95.0","1,236.0","8.6","4.2","16.0","0.0","2.0","219.1"
"Cooper Kupp","LAR","102.7","1,310.2","8.8","7.8","78.0","1.1","0.6","248.4"
"","high","111.5","1,429.9","10.7","9.2","175.7","2.6","0.1","355.5"
"","low","98.0","1,182.0","7.8","5.3","28.1","0.3","1.0","220.4"
"Tyreek Hill","MIA","104.6","1,375.6","7.7","9.7","58.6","0.7","0.5","245.2"
"","high","114.3","1,453.3","10.4","10.7","68.3","1.0","0.0","365.4"
"","low","92.0","1,265.0","5.0","8.0","42.0","0.5","1.0","205.3"
"CeeDee Lamb","DAL","98.0","1,277.5","8.0","8.3","54.2","0.3","0.5","231.0"
"","high","107.5","1,377.1","9.9","11.0","74.0","0.7","0.1","349.2"
"","low","88.0","1,136.0","6.0","4.9","29.9","0.0","1.0","195.0"
"Stefon Diggs","BUF","96.7","1,302.3","8.3","1.0","4.9","0.0","0.6","227.9"
"","high","110.1","1,448.3","10.4","2.0","15.1","0.0","0.0","309.6"
"","low","89.0","1,185.0","7.2","0.0","-1.0","0.0","1.0","203.4"
"Davante Adams","LV","91.7","1,192.6","8.5","2.4","8.4","0.1","0.5","216.2"
"","high","108.0","1,339.2","10.3","4.6","25.6","0.3","0.0","288.1"
"","low","80.1","1,116.7","6.5","0.6","0.0","0.0","1.0","206.8"
"Amon-Ra St. Brown","DET","103.4","1,172.2","5.9","7.0","58.4","0.3","0.4","211.4"
"","high","109.2","1,271.2","7.5","8.5","82.8","0.5","0.0","327.8"
"","low","96.0","1,062.0","3.9","4.6","26.5","0.0","1.0","186.7"
"A.J. Brown","PHI","78.2","1,197.8","8.6","0.5","5.7","0.1","0.6","210.0"
"","high","92.3","1,380.7","10.0","1.4","19.0","0.2","0.0","257.3"
"","low","69.3","1,085.6","6.7","0.0","0.0","0.0","1.0","203.1"
"Jaylen Waddle","MIA","78.0","1,179.0","6.4","5.5","44.8","0.3","0.6","200.1"
"","high","87.0","1,279.8","7.8","10.7","78.0","0.6","0.0","285.6"
"","low","69.0","1,104.9","5.0","2.7","16.9","0.0","1.0","178.0"
"Garrett Wilson","NYJ","85.0","1,148.9","5.8","2.5","4.2","0.0","0.7","191.2"
"","high","96.4","1,268.9","9.5","4.5","8.2","0.0","0.0","257.0"
"","low","77.8","1,023.0","2.1","0.0","0.0","0.0","1.2","180.5"
"Chris Olave","NO","83.8","1,161.7","5.8","0.0","0.2","0.0","1.4","190.0"
