"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","105.5","1,236.2","9.8","0.6","234.4"
"","high","119.8","1,361.5","12.7","0.0","360.6"
"","low","94.0","1,142.6","7.9","1.0","219.8"
"Mark Andrews","BAL","74.8","885.9","6.4","0.2","165.8"
"","high","85.5","960.3","8.0","0.0","235.4"
"","low","66.0","844.0","5.1","0.6","148.4"
"T.J. Hockenson","MIN","80.9","833.5","5.7","0.5","157.1"
"","high","88.6","877.0","7.5","0.0","232.8"
"","low","75.2","792.2","4.9","1.0","140.5"
"George Kittle","SF","60.4","779.1","5.9","0.5","143.3"
"","high","63.9","853.6","8.0","0.0","216.0"
"","low","57.0","716.1","4.5","1.0","133.0"
"Darren Waller","NYG","65.9","799.7","4.9","0.3","141.6"
"","high","67.8","934.6","6.2","0.0","230.8"
"","low","60.0","721.1","2.7","0.7","129.2"
"Kyle Pitts","ATL","59.1","787.0","4.0","0.1","132.1"
"","high","64.3","883.0","5.0","0.0","193.2"
"","low","54.0","719.8","1.8","0.3","122.6"
"Dallas Goedert","PHI","64.0","736.6","4.1","0.5","129.4"
"","high","74.2","882.5","5.0","0.0","223.5"
"","low","54.0","637.8","2.8","1.0","117.6"
"Evan Engram","JAC","62.6","653.4","3.6","0.2","118.7"
"","high","65.0","669.0","4.5","0.0","179.5"
"","low","59.4","612.1","3.0","0.6","113.3"
"Pat Freiermuth","PIT","59.9","636.5","4.1","0.2","117.6"
"","high","64.1","678.0","4.3","0.0","164.6"
"","low","55.8","564.4","3.7","0.5","111.9"
"David Njoku","CLE","52.8","577.8","4.3","0.4","109.8"
"","high","58.0","655.0","5.0","0.0","152.9"
"","low","51.0","514.3","3.6","1.0","107.3"
"Tyler Higbee","LAR","61.3","578.1","3.5","0.1","109.5"
"","high","68.0","639.0","4.0","0.0","173.5"
"","low","56.4","533.0","1.9","0.3","100.6"
"Dalton Schultz","HOU","56.0","574.8","4.2","0.5","109.5"
"","high","61.0","642.3","5.1","0.0","177.3"
"","low","54.0","522.0","3.1","1.0","102.4"
"Chigoziem Okonkwo","TEN","46.9","572.9","3.8","0.1","106.3"
"","high","56.0","624.0","4.0","0.0","162.7"
"","low","41.0","515.4","3.4","0.3","97.5"
"Greg Dulcich","DEN","46.2","569.9","3.6","0.1","101.3"
"","high","50.0","646.4","4.4","0.0","153.4"
"","low","41.7","480.5","2.2","0.3","91.5"
"Gerald Everett","LAC","51.1","527.8","3.7","0.3","100.3"
