"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","218.7","1,011.6","7.5","74.8","632.0","4.2","0.5","271.2"
"","high","246.0","1,107.0","9.8","87.0","675.3","5.4","0.0","360.6"
"","low","191.7","872.6","6.3","66.0","547.5","2.5","1.0","239.4"
"Austin Ekeler","LAC","191.4","862.8","9.4","77.5","601.1","3.9","1.5","262.0"
"","high","214.3","1,026.2","11.0","85.0","674.0","5.0","0.6","353.6"
"","low","175.0","716.5","5.8","67.3","499.8","2.9","2.0","245.3"
"Nick Chubb","CLE","280.4","1,373.8","9.1","28.2","234.8","1.1","1.1","234.1"
"","high","350.6","1,736.1","11.3","31.4","274.2","1.6","0.9","277.1"
"","low","250.0","1,235.0","8.0","24.0","208.0","0.8","1.5","194.1"
"Tony Pollard","DAL","222.8","1,116.5","8.2","45.5","378.5","2.2","0.5","233.6"
"","high","291.3","1,389.3","11.1","53.2","473.5","2.9","0.0","287.2"
"","low","163.8","945.4","6.0","38.7","316.5","1.7","1.0","187.8"
"Josh Jacobs","LV","263.2","1,228.8","9.8","39.8","292.7","0.8","1.2","233.3"
"","high","282.7","1,443.2","10.6","49.0","377.0","1.7","1.0","305.4"
"","low","254.0","1,098.5","9.0","33.0","228.6","0.0","1.4","193.9"
"Derrick Henry","TEN","304.8","1,336.1","9.2","31.8","269.7","0.8","1.8","233.2"
"","high","333.2","1,537.8","10.8","39.0","345.4","1.4","1.6","293.3"
"","low","261.0","1,133.0","8.0","23.6","176.5","0.0","2.0","185.9"
"Saquon Barkley","NYG","253.8","1,133.9","7.9","52.4","373.1","1.7","0.7","233.1"
"","high","302.5","1,385.9","10.8","54.5","429.9","2.2","0.3","287.2"
"","low","233.1","1,001.6","6.6","48.0","315.0","1.0","1.0","202.2"
"Bijan Robinson","ATL","247.9","1,181.4","8.7","40.6","337.2","2.1","1.9","233.0"
"","high","298.2","1,399.6","10.6","49.6","395.4","2.8","1.2","265.2"
"","low","215.8","1,065.8","7.0","29.0","230.2","1.4","4.0","210.3"
"Jonathan Taylor","IND","276.6","1,265.2","8.3","32.5","229.9","1.0","2.1","217.2"
"","high","335.4","1,607.7","10.0","39.1","288.0","2.0","1.4","252.8"
"","low","252.0","1,157.0","7.0","22.2","164.7","0.0","3.0","176.3"
"Joe Mixon","CIN","228.7","954.9","7.4","50.0","367.3","2.2","0.6","213.4"
"","high","261.2","1,149.2","9.7","62.2","524.0","2.9","0.5","316.8"
"","low","202.2","800.0","5.5","41.1","284.5","1.7","1.0","179.0"
"Aaron Jones","GB","201.0","990.8","5.6","49.8","375.0","2.7","1.3","208.3"
"","high","224.7","1,134.2","9.1","55.3","487.9","3.0","0.6","286.0"
"","low","179.0","847.1","4.0","43.5","303.5","2.4","2.0","170.9"
"Najee Harris","PIT","263.2","1,037.4","6.8","39.3","267.4","2.2","1.2","202.2"
"","high","299.5","1,269.2","9.0","44.0","296.5","3.0","0.5","240.8"
"","low","238.0","857.0","5.7","32.6","213.0","1.7","2.0","160.7"
"Rhamondre Stevenson","NE","208.0","961.6","5.9","51.8","365.0","1.4","1.0","200.0"
"","high","251.3","1,125.0","8.1","55.0","452.7","2.2","0.5","252.1"
"","low","193.0","860.5","4.9","48.7","322.0","0.6","1.3","165.9"
"Travis Etienne Jr.","JAC","218.6","1,082.1","6.5","35.1","285.7","0.9","2.3","193.9"
"","high","255.7","1,193.5","8.7","40.2","322.5","1.8","1.6","238.8"
"","low","203.5","977.7","4.8","31.0","245.7","0.0","3.0","154.6"
"Alexander Mattison","MIN","215.3","942.3","8.1","34.4","235.9","1.6","1.0","191.4"
"","high","250.6","1,113.1","9.1","39.5","260.5","2.2","0.7","246.0"
"","low","180.7","736.0","6.7","29.0","193.0","1.0","1.2","159.2"
"James Conner","ARI","214.0","913.3","6.8","41.0","297.9","1.3","0.8","188.5"
"","high","262.1","1,126.2","7.5","43.0","330.5","1.7","0.5","252.2"
"","low","179.6","685.8","6.0","36.0","276.6","1.0","1.2","164.5"
"Kenneth Walker III","SEA","228.7","1,040.3","8.2","25.9","173.7","0.6","0.4","186.6"
"","high","273.3","1,240.8","9.1","29.9","213.6","1.0","0.0","217.9"
"","low","203.0","866.0","7.4","20.2","141.0","0.0","1.0","148.9"
"Jahmyr Gibbs","DET","177.8","780.6","6.5","44.5","351.0","2.0","1.5","183.5"
"","high","200.3","899.8","7.8","48.1","416.0","2.7","0.8","220.3"
"","low","147.0","643.0","6.0","37.0","249.9","1.1","3.0","152.3"
"Dameon Pierce","HOU","255.5","1,069.8","5.8","32.7","216.2","1.1","2.1","182.1"
"","high","271.3","1,170.8","7.2","37.1","267.9","1.4","1.6","220.7"
"","low","227.0","966.4","4.2","31.0","170.0","1.0","2.4","168.3"
"Breece Hall","NYJ","179.2","871.8","5.9","36.2","324.1","1.8","1.1","181.8"
"","high","233.4","1,084.2","6.7","42.6","376.5","2.1","0.4","213.7"
"","low","140.0","706.0","5.0","32.0","239.4","1.4","2.0","148.1"
"Rachaad White","TB","205.7","841.0","4.5","48.1","341.5","1.9","2.7","175.6"
"","high","244.6","1,050.6","6.7","55.0","438.7","3.5","1.4","242.7"
"","low","167.8","621.0","1.8","43.0","288.0","1.0","4.0","123.0"
"Miles Sanders","CAR","216.0","1,005.7","6.1","29.8","209.4","0.7","1.4","174.4"
"","high","255.2","1,181.9","8.2","41.0","297.9","1.4","1.0","206.6"
"","low","185.1","920.6","5.0","13.2","102.6","0.0","2.0","135.9"
"Cam Akers","LAR","233.7","987.5","6.5","25.1","206.6","0.7","2.2","170.4"
"","high","280.0","1,241.4","7.0","33.3","280.1","1.6","1.1","198.2"
"","low","201.0","752.0","5.4","20.0","176.3","0.0","3.0","123.5"
"J.K. Dobbins","BAL","173.8","888.7","6.8","24.0","170.4","1.6","0.4","167.6"
"","high","234.7","1,058.2","8.0","27.7","195.0","3.0","0.0","187.2"
"","low","123.6","794.0","6.0","18.6","145.0","0.0","1.0","146.0"
"Isiah Pacheco","KC","196.7","936.9","6.8","24.3","199.7","0.7","1.9","167.3"
"","high","236.4","1,065.2","9.0","29.6","241.7","1.3","1.4","216.8"
"","low","169.0","831.1","5.0","17.5","129.7","0.0","2.3","129.2"
"David Montgomery","DET","193.5","774.1","6.2","33.6","278.5","1.1","1.0","164.0"
"","high","217.2","884.1","7.9","40.0","360.0","1.6","0.8","198.2"
"","low","171.0","641.0","4.2","28.6","220.0","0.7","1.4","140.8"
"Javonte Williams","DEN","178.3","821.4","4.8","36.8","256.9","1.5","1.6","161.4"
"","high","221.9","986.4","6.4","46.0","340.1","2.6","1.1","237.4"
"","low","158.0","717.0","3.0","26.0","179.1","1.0","2.0","122.4"
"Alvin Kamara","NO","172.6","713.6","3.8","42.1","370.2","1.8","1.1","160.7"
"","high","188.0","773.9","5.0","49.4","448.8","2.3","0.6","210.2"
"","low","154.0","624.0","2.6","32.2","248.4","1.2","2.0","124.0"
"James Cook","BUF","157.5","796.7","4.7","35.1","263.2","1.7","1.4","159.1"
"","high","176.5","866.6","5.7","43.7","341.6","2.0","0.9","216.7"
"","low","121.8","724.3","4.0","20.0","172.0","1.0","2.0","126.5"
"D'Andre Swift","PHI","118.2","556.4","4.8","40.8","335.8","1.9","0.8","148.2"
"","high","131.0","681.0","6.0","51.7","480.3","2.4","0.7","212.2"
"","low","106.2","473.8","4.2","34.0","256.3","1.4","1.0","125.3"
"AJ Dillon","GB","166.0","725.4","5.6","25.0","198.3","0.7","0.7","141.6"
"","high","186.0","782.0","6.2","32.0","248.0","1.0","0.4","180.4"
"","low","147.8","662.7","4.0","14.6","114.8","0.0","1.0","119.5"
"Brian Robinson Jr.","WAS","210.7","886.7","4.3","16.2","105.0","0.7","0.5","136.6"
"","high","241.4","1,065.5","6.4","25.4","183.1","1.5","0.0","186.7"
"","low","184.0","755.0","1.6","7.4","43.2","0.0","1.0","121.1"
"Antonio Gibson","WAS","139.1","558.7","3.6","42.6","309.7","1.4","1.1","136.3"
"","high","162.9","643.4","5.0","52.0","396.6","2.0","0.7","185.6"
"","low","107.6","427.7","2.7","33.0","239.8","0.8","1.7","115.3"
"Khalil Herbert","CHI","161.8","803.7","4.6","19.2","130.2","0.7","0.4","134.5"
"","high","171.0","912.4","5.5","26.5","187.4","1.0","0.0","166.9"
"","low","148.0","735.0","3.8","13.0","90.0","0.0","1.0","114.6"
