"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Justin Jefferson","MIN","110.9","1,523.7","8.1","3.7","19.0","0.3","0.3","259.8"
"","high","124.5","1,683.3","10.2","4.2","23.5","1.0","0.0","338.7"
"","low","101.2","1,336.0","6.0","3.0","13.2","0.0","0.8","237.4"
"Ja'Marr Chase","CIN","105.9","1,389.9","10.3","4.9","24.0","0.1","1.1","254.6"
"","high","117.0","1,495.9","11.2","8.5","37.9","0.3","0.0","365.7"
"","low","95.0","1,236.0","8.6","2.0","16.0","0.0","2.0","224.0"
"Cooper Kupp","LAR","108.0","1,345.7","8.3","7.9","73.2","0.8","0.8","248.8"
"","high","121.8","1,446.8","10.3","11.2","198.9","2.7","0.1","367.0"
"","low","98.0","1,183.0","6.5","5.0","28.1","0.0","1.4","223.0"
"Tyreek Hill","MIA","105.5","1,395.3","7.8","9.2","55.7","0.6","0.4","247.3"
"","high","114.3","1,510.0","10.5","10.7","68.3","1.0","0.0","365.8"
"","low","93.0","1,271.0","5.0","8.0","42.0","0.0","0.9","207.8"
"CeeDee Lamb","DAL","99.2","1,294.5","7.7","8.7","55.8","0.3","0.3","231.6"
"","high","108.2","1,548.4","9.8","11.0","74.0","0.6","0.0","373.6"
"","low","88.0","1,133.0","6.0","4.8","29.0","0.0","0.7","197.6"
"Stefon Diggs","BUF","97.2","1,273.8","8.4","0.6","3.2","0.0","0.4","225.8"
"","high","111.2","1,457.0","10.5","2.0","15.1","0.0","0.0","309.8"
"","low","89.0","1,184.0","7.2","0.0","-1.0","0.0","0.8","205.6"
"Davante Adams","LV","93.6","1,264.4","8.5","1.8","7.6","0.1","0.3","224.8"
"","high","108.0","1,478.6","10.3","4.6","25.6","0.3","0.0","289.1"
"","low","80.1","1,116.7","6.5","0.0","0.0","0.0","0.8","209.8"
"A.J. Brown","PHI","77.8","1,195.2","8.3","0.3","3.8","0.0","0.6","207.8"
"","high","92.2","1,379.8","10.0","1.4","19.0","0.2","0.0","257.2"
"","low","69.3","1,085.6","6.7","0.0","0.0","0.0","1.0","192.9"
"Amon-Ra St. Brown","DET","101.1","1,139.8","5.7","8.0","62.7","0.5","0.2","207.4"
"","high","109.1","1,269.9","7.4","10.0","82.8","1.0","0.0","326.6"
"","low","95.4","1,044.7","3.9","4.6","26.6","0.0","0.6","189.5"
"Jaylen Waddle","MIA","79.6","1,155.3","6.4","4.1","34.0","0.3","0.7","197.3"
"","high","86.9","1,277.8","7.8","10.7","78.0","0.6","0.0","286.4"
"","low","66.0","1,080.0","5.0","0.0","0.0","0.0","1.0","174.8"
"Garrett Wilson","NYJ","83.5","1,132.6","6.4","2.4","6.3","0.0","0.8","192.7"
"","high","93.3","1,268.9","9.2","4.5","24.4","0.2","0.0","251.6"
"","low","76.4","998.4","2.1","0.0","0.0","0.0","1.2","178.8"
"Tee Higgins","CIN","80.5","1,081.5","6.7","0.5","2.4","0.0","0.3","188.0"
"","high","93.9","1,165.2","8.1","1.6","8.8","0.0","0.0","269.6"
"","low","71.0","1,011.0","6.0","0.0","0.0","0.0","0.6","168.2"
"Deebo Samuel","SF","68.9","892.5","4.1","43.3","257.0","2.4","1.4","185.7"
"","high","77.9","981.1","5.8","49.0","331.0","3.5","1.0","270.0"
"","low","60.8","819.0","1.3","37.7","209.7","1.4","2.0","165.4"
"Chris Olave","NO","81.3","1,137.8","5.6","0.0","0.1","0.0","1.3","185.5"
"","high","89.6","1,271.0","7.0","0.0","0.9","0.0","0.0","287.5"
"","low","73.3","1,073.1","4.0","0.0","0.0","0.0","2.2","161.6"
"DK Metcalf","SEA","82.1","1,018.4","7.2","0.1","1.1","0.0","0.8","184.6"
"","high","95.4","1,123.2","8.2","0.7","3.7","0.0","0.0","259.2"
"","low","70.0","885.0","6.0","0.0","0.0","0.0","1.3","156.1"
"DeVonta Smith","PHI","82.8","1,049.9","6.4","0.0","0.1","0.0","0.6","183.3"
"","high","91.0","1,120.8","7.0","0.0","0.8","0.0","0.0","262.9"
"","low","76.0","962.0","5.7","0.0","0.0","0.0","1.0","168.4"
"Amari Cooper","CLE","73.5","1,031.6","7.0","0.5","1.6","0.0","0.1","182.0"
"","high","81.0","1,099.2","7.6","1.6","4.7","0.0","0.0","263.0"
"","low","66.0","945.0","6.4","0.0","0.0","0.0","0.5","164.8"
"Calvin Ridley","JAC","80.4","1,021.3","6.5","2.2","7.7","0.0","0.5","181.5"
"","high","90.0","1,122.8","7.4","4.3","25.4","0.2","0.0","281.6"
"","low","73.0","917.9","5.4","0.0","0.0","0.0","1.0","167.2"
"Christian Watson","GB","69.2","958.3","6.0","8.6","69.8","1.0","0.2","179.0"
"","high","80.7","1,040.5","7.0","10.0","92.8","2.3","0.0","251.0"
"","low","58.0","858.0","2.9","7.0","53.8","0.0","0.8","169.6"
"Keenan Allen","LAC","89.6","992.8","5.6","1.3","7.4","0.0","0.6","177.6"
"","high","94.0","1,078.6","6.1","4.3","23.9","0.2","0.0","263.1"
"","low","84.7","922.6","4.9","0.0","0.0","0.0","1.0","158.8"
"Jerry Jeudy","DEN","72.8","1,050.3","5.6","1.6","15.0","0.0","0.2","176.4"
"","high","83.7","1,116.7","6.6","3.0","29.0","0.1","0.0","246.3"
