"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Chris Godwin","TB","91.3","972.1","4.4","2.3","11.3","0.1","0.6","169.7"
"","high","96.9","1,032.8","6.1","4.4","25.0","0.2","0.0","272.4"
"","low","84.0","888.0","3.0","0.0","0.0","0.0","1.0","142.7"
"Mike Evans","TB","70.2","973.6","5.9","0.1","8.0","0.0","0.3","167.8"
"","high","79.9","1,125.4","7.2","0.2","37.1","0.0","0.0","263.4"
"","low","64.0","856.4","5.0","0.0","0.0","0.0","1.0","144.1"
"DJ Moore","CHI","65.3","911.9","6.1","5.1","33.0","0.0","0.5","162.9"
"","high","83.0","1,076.4","9.0","8.0","53.0","0.2","0.1","214.7"
"","low","53.3","801.0","3.2","0.0","0.0","0.0","1.0","158.6"
"Drake London","ATL","75.9","940.7","5.6","0.0","0.2","0.0","2.1","161.1"
"","high","77.2","973.2","6.1","0.0","0.8","0.0","0.0","238.5"
"","low","73.4","903.9","5.0","0.0","0.0","0.0","3.4","153.9"
"Marquise Brown","ARI","78.5","900.5","5.0","1.7","10.0","0.0","0.4","159.7"
"","high","91.4","1,054.6","5.5","4.6","27.2","0.2","0.0","215.7"
"","low","69.4","796.6","4.3","0.0","0.0","0.0","1.0","145.2"
"Tyler Lockett","SEA","71.2","882.5","5.8","0.3","0.8","0.0","0.5","157.5"
"","high","86.7","1,014.1","6.8","1.2","2.3","0.0","0.0","222.7"
"","low","65.0","801.0","5.0","0.0","0.0","0.0","1.0","141.6"
"Brandon Aiyuk","SF","63.8","899.7","5.3","2.8","18.7","0.2","0.5","155.7"
"","high","69.0","1,008.8","6.0","5.0","37.4","0.6","0.0","225.6"
"","low","58.0","802.0","4.4","0.0","0.0","0.0","1.0","138.9"
"Brandin Cooks","DAL","69.2","875.5","5.1","2.6","18.7","0.1","0.3","154.6"
"","high","79.1","1,058.3","6.8","4.9","30.3","0.3","0.0","264.3"
"","low","61.0","784.0","2.8","0.0","0.0","0.0","1.0","132.6"
"Diontae Johnson","PIT","79.0","885.9","4.2","4.7","24.8","0.0","0.7","154.3"
"","high","88.0","947.0","5.0","8.0","42.0","0.1","0.0","230.7"
"","low","72.5","825.0","3.0","0.0","0.0","0.0","1.2","129.5"
"Michael Pittman Jr.","IND","75.7","862.1","4.3","1.9","19.0","0.0","0.5","150.8"
"","high","83.6","944.4","5.7","4.4","40.8","0.1","0.0","244.8"
"","low","67.0","686.0","3.0","0.0","0.0","0.0","1.0","115.9"
"Jahan Dotson","WAS","57.0","809.8","6.1","3.1","9.8","0.1","0.3","146.9"
"","high","63.4","947.2","8.2","7.5","43.6","0.4","0.0","221.1"
"","low","51.0","726.1","4.0","0.0","-7.0","0.0","1.0","131.4"
"George Pickens","PIT","54.3","839.0","5.1","2.3","16.0","0.4","0.3","145.0"
"","high","62.8","892.3","6.0","3.3","26.3","1.1","0.0","191.7"
"","low","46.2","761.0","2.8","0.0","0.0","0.0","1.0","135.1"
"Gabe Davis","BUF","50.3","809.4","6.3","0.1","0.9","0.0","0.4","143.4"
"","high","54.3","919.9","7.0","0.3","4.4","0.0","0.0","211.3"
"","low","41.0","730.0","5.6","0.0","0.0","0.0","1.0","129.1"
"Jordan Addison","MIN","61.8","820.2","4.7","2.0","11.7","0.1","0.9","141.0"
"","high","69.9","905.0","6.0","4.0","25.2","0.2","0.0","183.9"
"","low","55.6","693.8","4.0","0.0","0.0","0.0","2.0","133.9"
"JuJu Smith-Schuster","NE","70.3","793.8","4.2","0.2","1.2","0.1","0.7","138.7"
"","high","79.0","902.2","5.0","0.9","2.6","0.3","0.0","232.9"
