"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","104.8","1,242.2","9.8","0.6","234.7"
"","high","114.7","1,321.0","12.7","0.0","346.9"
"","low","94.0","1,144.0","7.9","1.0","219.4"
"Mark Andrews","BAL","75.0","887.0","6.3","0.4","164.7"
"","high","84.4","947.1","7.9","0.0","235.5"
"","low","66.0","843.0","5.1","1.0","146.5"
"T.J. Hockenson","MIN","82.4","830.6","5.8","0.5","157.8"
"","high","88.8","877.0","7.6","0.0","233.6"
"","low","77.0","792.2","4.9","1.0","141.2"
"George Kittle","SF","60.7","800.1","6.1","0.5","146.5"
"","high","65.7","853.6","8.0","0.0","216.1"
"","low","57.0","769.0","4.5","1.0","138.2"
"Darren Waller","NYG","65.6","799.2","4.6","0.6","139.1"
"","high","67.8","934.6","6.1","0.0","230.7"
"","low","60.0","731.3","2.7","1.0","127.8"
"Dallas Goedert","PHI","64.7","766.4","4.3","0.6","133.9"
"","high","74.2","882.5","5.0","0.0","223.9"
"","low","54.0","648.0","3.4","1.0","121.2"
"Kyle Pitts","ATL","59.2","759.3","3.9","0.3","128.1"
"","high","63.0","818.1","5.0","0.0","182.0"
"","low","54.0","669.0","1.4","1.0","120.6"
"Evan Engram","JAC","63.8","656.9","3.6","0.5","118.8"
"","high","65.0","672.2","4.5","0.0","180.2"
"","low","63.0","612.1","3.0","1.0","111.9"
"Pat Freiermuth","PIT","59.7","634.7","4.0","0.5","116.6"
"","high","63.2","680.0","4.2","0.0","164.6"
"","low","55.8","564.4","3.7","1.0","112.9"
"Dalton Schultz","HOU","56.7","585.6","4.2","0.5","111.2"
"","high","61.0","674.6","5.2","0.0","184.4"
"","low","54.0","521.4","3.1","1.0","102.7"
"David Njoku","CLE","53.8","585.2","4.2","0.5","110.7"
"","high","60.0","680.0","5.0","0.0","156.5"
"","low","51.0","525.4","3.8","1.0","106.9"
"Chigoziem Okonkwo","TEN","47.9","582.7","3.8","0.0","107.6"
"","high","56.0","616.5","4.0","0.0","163.1"
"","low","41.0","553.9","3.4","0.0","98.0"
"Greg Dulcich","DEN","49.4","598.3","3.8","0.0","107.6"
"","high","51.0","652.0","4.5","0.0","155.0"
"","low","48.0","541.2","2.9","0.0","104.3"
"Tyler Higbee","LAR","60.7","565.7","3.4","0.3","106.8"
"","high","68.0","639.0","4.0","0.0","168.3"
"","low","55.6","525.7","1.8","1.0","98.3"
"Gerald Everett","LAC","52.6","533.2","3.7","0.6","100.5"
"","high","59.6","586.1","4.2","0.0","169.9"
"","low","50.0","503.0","2.5","1.0","92.3"
"Dalton Kincaid","BUF","42.3","494.1","3.9","0.4","93.4"
"","high","49.0","571.0","6.0","0.0","123.7"
"","low","38.7","416.2","3.0","1.0","84.6"
"Juwan Johnson","NO","40.4","476.4","4.2","0.0","92.9"
"","high","46.0","517.2","6.0","0.0","121.8"
"","low","36.6","429.1","3.0","0.0","86.7"
"Cole Kmet","CHI","40.6","455.1","3.7","0.1","88.1"
"","high","53.0","571.0","6.0","0.0","117.2"
"","low","23.4","232.2","1.3","0.4","74.9"
"Irv Smith Jr.","CIN","43.3","414.2","4.1","0.0","87.5"
"","high","52.0","468.4","6.0","0.0","127.2"
"","low","38.0","348.0","3.0","0.0","80.4"
"Noah Fant","SEA","44.6","461.4","2.8","0.1","85.2"
"","high","53.0","529.0","4.0","0.0","124.9"
"","low","37.9","384.1","1.4","0.2","74.3"
"Sam LaPorta","DET","41.0","447.6","3.3","0.4","84.3"
"","high","45.0","532.3","4.0","0.0","117.7"
"","low","38.7","389.9","2.8","1.0","78.5"
"Hunter Henry","NE","39.1","471.9","2.8","0.1","83.6"
"","high","43.3","565.5","3.7","0.0","141.6"
"","low","37.0","412.4","1.4","0.2","72.5"
"Hayden Hurst","CAR","45.3","437.6","3.0","0.5","83.6"
"","high","49.0","454.0","3.5","0.0","126.8"
"","low","42.2","404.3","2.7","1.0","73.6"
"Tyler Conklin","NYJ","46.0","428.2","2.3","0.0","80.3"
"","high","58.0","566.0","3.0","0.0","121.7"
"","low","39.5","347.5","0.2","0.0","75.0"
"Dawson Knox","BUF","35.4","402.6","3.6","0.2","79.1"
"","high","41.0","469.6","4.0","0.0","106.1"
"","low","28.6","306.0","2.4","0.5","68.7"
"Cade Otton","TB","44.5","439.0","2.1","0.0","78.9"
"","high","50.2","515.5","3.0","0.0","139.6"
"","low","39.8","402.3","0.3","0.0","70.2"
"Jelani Woods","IND","34.3","419.4","2.9","0.0","76.5"
"","high","39.7","481.8","4.0","0.0","122.4"
"","low","28.0","308.3","2.0","0.0","59.5"
"Zach Ertz","ARI","43.0","418.0","2.3","0.4","76.4"
"","high","51.0","475.1","4.0","0.0","113.6"
"","low","36.0","344.0","0.4","1.0","67.9"
"Logan Thomas","WAS","42.6","405.3","2.0","0.1","73.7"
"","high","45.6","449.0","3.1","0.0","110.4"
"","low","36.0","389.9","0.6","0.3","65.3"
"Mike Gesicki","NE","35.2","400.7","2.5","0.1","72.4"
"","high","44.5","519.8","3.3","0.0","102.6"
"","low","28.1","304.0","1.8","0.2","56.6"
"Michael Mayer","LV","36.7","386.3","2.6","0.4","72.1"
"","high","41.4","463.0","3.0","0.0","99.4"
"","low","33.0","322.8","2.0","1.0","67.4"
"Trey McBride","ARI","37.5","399.4","2.2","0.4","70.9"
"","high","56.0","512.0","3.0","0.0","105.2"
"","low","26.1","274.2","1.3","1.0","53.9"
"Luke Musgrave","GB","31.3","329.2","2.1","0.4","60.7"
"","high","37.0","382.6","3.0","0.0","84.0"
"","low","25.0","268.0","0.8","1.0","54.4"
"Taysom Hill","NO","12.7","188.1","1.8","1.2","58.2"
"","high","17.2","423.0","4.8","0.0","88.0"
"","low","10.0","88.0","1.0","2.0","54.3"
"Austin Hooper","LV","29.1","314.0","1.8","0.0","56.6"
"","high","33.0","362.4","3.0","0.0","80.4"
"","low","26.2","262.5","0.2","0.0","48.6"
"Jake Ferguson","DAL","28.2","292.4","2.1","0.0","56.3"
"","high","35.4","349.7","3.3","0.0","70.2"
"","low","18.4","182.8","1.1","0.0","52.8"
"Isaiah Likely","BAL","24.5","307.1","2.2","0.0","56.0"
"","high","32.2","438.1","3.0","0.0","101.1"
"","low","17.8","175.2","1.5","0.0","38.5"
"Luke Schoonmaker","DAL","23.7","259.8","1.6","0.4","47.0"
"","high","33.6","344.7","2.4","0.0","94.4"
"","low","15.5","156.0","0.7","1.0","34.9"
"Robert Tonyan","CHI","21.5","239.7","1.6","0.0","44.6"
"","high","32.0","337.8","3.0","0.0","86.9"
"","low","5.6","51.7","0.5","0.0","19.1"
"Donald Parham Jr.","LAC","17.9","215.1","1.5","0.0","39.7"
"","high","26.1","304.9","3.0","0.0","73.3"
"","low","8.6","95.0","0.1","0.0","22.2"
"Noah Gray","KC","20.1","225.0","1.0","0.0","39.4"
"","high","26.0","296.6","2.0","0.0","67.2"
"","low","6.9","68.6","0.0","0.0","20.6"
"Brock Wright","DET","17.3","177.0","2.0","0.0","38.6"
"","high","23.0","273.0","5.0","0.0","57.7"
"","low","11.3","126.8","0.9","0.0","28.0"
"Jordan Akins","CLE","18.6","222.7","1.2","0.2","38.4"
"","high","34.4","427.4","2.5","0.0","101.6"
"","low","6.9","75.9","0.0","0.5","19.4"
"Jonnu Smith","ATL","18.5","211.6","1.2","0.0","38.3"
"","high","24.0","303.7","2.0","0.0","56.8"
"","low","13.1","131.0","0.0","0.0","29.1"
"Will Dissly","SEA","19.0","215.6","1.1","0.0","37.7"
"","high","26.0","289.7","2.0","0.0","68.3"
"","low","8.7","84.6","0.3","0.0","21.0"
"C.J. Uzomah","NYJ","18.3","199.0","1.4","0.0","37.7"
"","high","25.0","262.0","3.0","0.0","66.6"
"","low","4.0","37.4","0.0","0.0","14.9"
"Brenton Strange","JAC","22.6","193.4","1.3","0.4","37.6"
"","high","24.0","224.0","2.0","0.0","59.1"
"","low","21.2","172.7","0.4","1.0","36.3"
"Durham Smythe","MIA","20.8","207.4","1.0","0.0","37.4"
"","high","23.9","239.1","1.7","0.0","69.1"
"","low","18.3","162.9","0.0","0.0","33.9"
"Foster Moreau","NO","16.0","230.4","1.0","0.4","36.1"
"","high","28.0","378.0","2.0","0.0","53.9"
"","low","5.4","61.7","0.3","1.0","16.6"
"Josiah Deguara","GB","20.8","191.2","1.1","0.0","35.9"
"","high","30.7","312.5","2.4","0.0","55.9"
