"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","609.6","405.4","4,833.2","37.7","11.2","64.9","356.8","3.2","1.9","383.9"
"","high","644.4","427.0","5,173.6","39.5","9.1","69.0","434.3","3.9","1.0","449.0"
"","low","555.7","374.0","4,467.7","33.1","12.9","59.2","305.9","2.9","3.8","366.5"
"Josh Allen","BUF","575.5","363.2","4,278.2","32.1","14.2","117.0","662.0","6.3","4.2","380.7"
"","high","610.2","387.4","4,555.2","34.2","10.8","129.7","704.0","7.6","2.2","446.5"
"","low","527.3","338.2","4,076.9","30.3","19.0","105.4","592.4","5.0","5.4","371.9"
"Jalen Hurts","PHI","494.0","318.1","3,823.1","23.8","10.1","157.6","800.9","11.0","2.9","378.4"
"","high","530.9","350.0","4,039.4","28.0","8.0","174.0","933.2","15.4","1.0","427.0"
"","low","455.4","290.2","3,511.9","18.8","14.7","141.6","670.2","7.7","4.6","370.6"
"Lamar Jackson","BAL","479.3","304.2","3,474.1","25.5","11.5","148.6","941.3","5.5","3.0","350.6"
"","high","535.0","329.0","3,701.0","28.0","10.0","170.4","1,082.1","7.4","1.5","396.1"
"","low","402.6","263.0","3,090.5","20.1","16.0","130.0","777.0","3.0","4.3","338.6"
"Joe Burrow","CIN","592.1","402.7","4,592.2","32.6","12.9","64.2","270.5","3.7","2.3","346.0"
"","high","634.5","425.3","4,780.5","34.0","11.6","69.9","423.6","4.6","0.6","400.1"
"","low","567.5","391.2","4,317.0","29.0","14.2","56.0","189.0","2.6","3.8","331.7"
"Justin Fields","CHI","408.0","250.8","2,911.9","20.2","12.8","161.3","1,070.1","6.9","3.5","326.0"
"","high","464.0","283.0","3,245.0","22.0","10.0","189.8","1,235.2","8.5","0.7","371.8"
"","low","351.8","213.3","2,626.8","17.3","19.0","139.1","910.5","6.0","5.9","310.4"
"Justin Herbert","LAC","627.7","422.0","4,595.8","30.1","12.7","57.1","220.8","2.0","2.0","321.6"
"","high","690.0","469.0","4,813.2","31.7","11.3","60.4","274.4","3.6","0.4","383.1"
"","low","591.1","397.5","4,314.9","29.0","15.9","54.0","173.0","1.0","3.8","319.6"
"Deshaun Watson","CLE","507.8","326.5","3,871.6","24.9","11.0","96.1","482.0","4.1","1.8","312.8"
"","high","564.0","355.0","4,021.6","28.1","9.0","113.3","546.0","7.0","0.5","349.0"
"","low","474.5","314.1","3,741.0","22.9","16.0","82.0","376.0","2.0","3.4","299.5"
"Kirk Cousins","MIN","592.6","395.1","4,442.6","30.7","12.3","31.4","92.0","1.5","2.8","301.0"
"","high","636.0","430.0","4,621.0","32.3","9.9","41.6","102.1","2.1","0.7","357.2"
"","low","508.2","346.9","4,147.6","28.8","14.0","22.9","63.8","0.9","4.2","285.6"
"Trevor Lawrence","JAC","579.2","378.8","4,091.9","26.8","12.2","62.4","285.2","3.9","5.2","300.4"
"","high","595.7","395.1","4,328.9","30.0","9.1","69.0","311.0","6.8","1.8","348.3"
"","low","566.4","365.5","3,920.3","24.0","14.6","55.8","250.4","2.9","8.0","289.2"
"Dak Prescott","DAL","550.4","363.2","4,109.9","29.1","13.7","58.0","248.5","2.3","3.1","300.0"
"","high","567.2","371.0","4,218.9","31.6","12.9","65.0","304.6","3.1","1.8","342.9"
"","low","536.6","355.0","3,899.0","26.3","16.0","55.0","199.0","1.0","3.8","292.4"
"Daniel Jones","NYG","515.3","335.6","3,474.1","20.8","9.8","109.3","638.5","4.9","4.1","297.3"
"","high","541.0","357.1","3,629.8","22.0","6.0","121.9","750.8","5.7","1.9","335.8"
"","low","501.0","326.0","3,317.0","19.7","11.9","91.1","556.0","4.0","6.9","289.0"
"Geno Smith","SEA","543.4","370.0","4,038.3","27.1","11.3","62.2","323.3","2.0","3.7","295.4"
"","high","589.0","400.0","4,258.9","28.9","8.8","72.0","366.5","4.0","1.6","362.9"
"","low","467.7","328.1","3,649.8","25.2","13.0","55.5","275.7","1.0","5.0","282.2"
"Aaron Rodgers","NYJ","565.3","366.0","4,101.2","28.5","8.6","36.0","123.9","1.6","2.6","286.0"
"","high","612.0","381.0","4,392.0","30.8","6.0","41.2","170.9","2.0","1.3","329.3"
"","low","491.6","329.7","3,750.1","26.0","11.0","30.0","83.0","1.0","3.7","278.8"
"Russell Wilson","DEN","511.9","323.1","3,814.8","24.3","10.7","63.5","317.9","2.6","2.1","282.4"
"","high","552.5","353.2","4,012.0","27.8","8.6","66.0","359.0","4.0","0.4","321.0"
"","low","447.8","286.7","3,441.3","22.0","12.0","59.0","261.0","1.8","3.8","253.3"
"Jared Goff","DET","570.5","374.8","4,240.8","28.0","11.0","31.0","79.8","1.2","3.6","278.9"
"","high","601.1","390.1","4,448.2","30.8","7.0","35.3","87.2","1.7","1.3","332.0"
"","low","551.0","363.0","3,917.2","24.0","12.9","21.8","67.8","1.0","5.0","272.0"
"Tua Tagovailoa","MIA","523.6","342.1","4,035.6","26.9","12.1","42.3","131.9","1.6","1.8","276.2"
"","high","595.2","384.3","4,459.9","31.1","10.6","60.4","165.7","2.6","1.0","323.7"
"","low","488.7","326.0","3,886.8","23.0","14.0","32.1","95.0","1.0","3.9","252.7"
"Anthony Richardson","IND","484.8","298.6","3,161.3","17.6","13.2","128.8","579.4","4.0","2.5","260.8"
"","high","563.6","365.3","4,113.8","24.4","10.0","200.0","1,038.0","6.3","0.7","292.0"
"","low","432.0","259.0","2,854.0","15.0","20.0","77.5","145.0","1.5","3.8","182.9"
"Derek Carr","NO","510.5","334.9","3,933.7","23.8","11.8","34.5","116.7","0.9","2.6","252.8"
