"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","105.5","1,236.8","9.9","0.6","234.5"
"","high","119.8","1,361.5","12.6","0.0","360.6"
"","low","94.0","1,144.0","7.9","1.0","219.8"
"Mark Andrews","BAL","74.8","884.1","6.4","0.2","165.5"
"","high","85.5","949.2","7.9","0.0","235.4"
"","low","66.0","844.0","5.1","0.6","148.4"
"T.J. Hockenson","MIN","80.9","833.4","5.7","0.5","157.0"
"","high","88.6","877.0","7.4","0.0","232.8"
"","low","75.2","792.2","4.9","1.0","140.5"
"Darren Waller","NYG","67.4","824.8","5.0","0.3","145.4"
"","high","70.8","934.6","6.3","0.0","231.6"
"","low","64.0","756.0","3.1","0.8","130.7"
"George Kittle","SF","59.8","765.8","5.7","0.5","140.7"
"","high","63.9","821.0","8.0","0.0","208.1"
"","low","56.0","713.5","3.8","1.0","132.6"
"Kyle Pitts","ATL","59.2","787.3","4.0","0.1","132.1"
"","high","64.6","883.0","5.0","0.0","193.8"
"","low","54.0","722.8","1.8","0.3","122.6"
"Dallas Goedert","PHI","64.2","738.2","4.1","0.5","129.6"
"","high","74.2","882.5","5.0","0.0","223.6"
"","low","55.0","637.3","2.8","1.0","117.6"
"Evan Engram","JAC","62.6","653.7","3.6","0.2","118.8"
"","high","65.0","669.0","4.5","0.0","179.5"
"","low","59.4","612.1","3.0","0.6","113.3"
"Pat Freiermuth","PIT","59.9","635.9","4.1","0.2","117.6"
"","high","64.2","686.0","4.4","0.0","164.7"
"","low","55.8","564.4","3.7","0.5","115.0"
"Dalton Schultz","HOU","56.0","575.2","4.2","0.5","109.6"
"","high","61.0","642.3","5.1","0.0","177.3"
"","low","54.0","522.1","3.1","1.0","102.4"
"David Njoku","CLE","52.4","576.8","4.3","0.4","109.4"
"","high","57.0","656.0","5.0","0.0","150.1"
"","low","50.8","504.5","3.6","1.0","107.2"
"Tyler Higbee","LAR","60.9","576.7","3.4","0.1","108.3"
"","high","68.0","639.0","4.0","0.0","173.3"
"","low","55.0","511.0","2.0","0.3","92.4"
"Chigoziem Okonkwo","TEN","47.0","571.3","3.7","0.1","105.8"
"","high","56.0","616.5","4.0","0.0","162.7"
"","low","41.0","515.6","3.4","0.3","97.5"
"Cole Kmet","CHI","47.5","518.8","4.3","0.2","101.1"
"","high","53.9","578.8","6.0","0.0","141.6"
"","low","41.1","418.0","3.0","0.4","87.4"
"Gerald Everett","LAC","50.7","521.3","3.7","0.3","99.0"
"","high","59.6","586.1","4.2","0.0","169.0"
"","low","46.5","475.1","2.5","0.8","92.7"
"Greg Dulcich","DEN","44.9","557.0","3.4","0.1","98.5"
"","high","48.4","634.6","4.5","0.0","152.7"
"","low","41.7","484.2","1.3","0.3","90.9"
"Dalton Kincaid","BUF","44.6","508.7","4.2","0.4","97.6"
"","high","49.0","572.0","6.0","0.0","124.9"
"","low","38.7","416.2","3.1","1.0","96.6"
"Juwan Johnson","NO","40.6","480.6","4.2","0.1","93.4"
"","high","47.7","533.8","6.0","0.0","125.6"
"","low","38.0","446.1","3.0","0.2","86.8"
"Sam LaPorta","DET","44.6","485.3","3.7","0.6","92.0"
"","high","51.0","538.0","5.0","0.0","119.5"
"","low","38.7","389.9","2.8","2.0","91.5"
"Irv Smith Jr.","CIN","43.4","411.4","4.1","0.1","87.1"
"","high","52.1","468.6","6.0","0.0","127.2"
"","low","38.0","348.0","3.0","0.3","80.4"
"Hunter Henry","NE","41.1","486.2","2.9","0.1","86.6"
"","high","46.0","565.5","3.7","0.0","142.6"
"","low","38.0","423.6","1.9","0.2","73.6"
"Noah Fant","SEA","43.9","453.2","2.9","0.1","84.7"
"","high","53.0","529.0","4.0","0.0","129.8"
"","low","37.9","358.9","1.6","0.2","70.6"
"Zach Ertz","ARI","44.8","442.5","2.8","0.1","83.0"
"","high","52.7","510.4","4.7","0.0","117.7"
"","low","36.0","344.0","0.8","0.3","68.8"
"Cade Otton","TB","45.2","455.1","2.4","0.1","82.5"
"","high","50.2","515.5","3.3","0.0","140.0"
"","low","39.5","417.0","0.5","0.3","70.6"
"Hayden Hurst","CAR","46.2","437.9","2.7","0.5","82.2"
"","high","49.4","469.8","3.5","0.0","131.2"
"","low","43.0","404.8","2.0","1.0","66.1"
"Tyler Conklin","NYJ","45.8","432.6","2.4","0.1","80.9"
"","high","54.0","526.0","3.1","0.0","124.7"
"","low","40.7","361.7","0.1","0.5","75.9"
"Dawson Knox","BUF","36.8","408.7","3.5","0.2","80.3"
"","high","45.0","477.0","4.1","0.0","103.4"
"","low","28.6","306.0","2.4","0.5","69.4"
"Jelani Woods","IND","34.7","424.6","2.8","0.1","76.8"
"","high","40.8","499.4","3.9","0.0","125.8"
"","low","28.0","318.1","2.0","0.3","60.8"
"Mike Gesicki","NE","35.6","406.2","2.7","0.1","74.1"
"","high","42.5","503.4","4.0","0.0","99.4"
"","low","28.7","309.0","1.6","0.2","57.8"
"Logan Thomas","WAS","42.6","404.0","2.1","0.1","74.1"
"","high","45.6","449.0","3.1","0.0","117.6"
"","low","38.5","356.5","0.2","0.3","65.3"
"Jake Ferguson","DAL","37.5","378.3","2.9","0.1","73.8"
"","high","50.0","493.0","4.0","0.0","92.0"
"","low","21.0","214.6","1.5","0.2","67.6"
"Michael Mayer","LV","37.1","392.8","2.6","0.4","72.7"
"","high","42.0","448.1","3.0","0.0","99.4"
"","low","33.4","322.8","1.8","1.0","67.5"
"Luke Musgrave","GB","36.2","384.9","2.6","0.4","71.6"
"","high","47.1","499.4","4.0","0.0","90.1"
"","low","14.3","136.1","1.1","1.0","52.7"
"Trey McBride","ARI","35.7","377.9","2.0","0.1","67.5"
"","high","56.0","510.0","3.0","0.0","104.2"
"","low","26.2","271.1","1.2","0.3","52.4"
"Taysom Hill","NO","14.3","192.5","1.7","1.1","66.8"
"","high","30.3","423.4","4.6","0.0","87.0"
"","low","7.4","77.9","0.9","2.0","63.4"
"Austin Hooper","LV","28.2","298.7","1.7","0.0","54.0"
"","high","36.4","368.4","2.6","0.0","79.9"
"","low","23.0","244.4","0.1","0.2","48.1"
"Isaiah Likely","BAL","24.0","290.0","2.0","0.0","53.2"
"","high","31.6","431.6","3.0","0.0","98.7"
"","low","18.0","175.6","1.5","0.2","38.3"
"Noah Gray","KC","22.2","240.6","1.4","0.0","44.1"
"","high","31.0","329.0","2.2","0.0","71.7"
"","low","6.9","68.5","0.0","0.1","21.7"
"Luke Schoonmaker","DAL","21.0","236.2","1.5","0.3","42.5"
"","high","34.9","371.3","2.4","0.0","97.2"
"","low","7.9","79.0","0.6","1.0","22.7"
"Adam Trautman","DEN","20.5","229.5","1.2","0.2","40.4"
"","high","29.0","332.9","2.4","0.0","57.9"
"","low","13.4","123.2","0.0","0.5","28.3"
"Foster Moreau","NO","17.6","244.0","1.2","0.4","39.9"
"","high","28.0","381.0","2.0","0.0","65.6"
"","low","3.9","44.7","0.3","1.0","15.1"
"Will Dissly","SEA","20.6","219.4","1.2","0.1","39.4"
"","high","27.1","289.7","2.0","0.0","72.5"
"","low","6.9","68.7","0.3","0.2","19.6"
"Donald Parham Jr.","LAC","17.7","208.3","1.6","0.0","39.3"
"","high","26.1","304.9","3.0","0.0","73.2"
"","low","8.6","93.6","0.1","0.1","22.1"
"Jonnu Smith","ATL","19.0","217.6","1.2","0.0","39.1"
"","high","24.0","314.5","2.0","0.0","58.8"
"","low","9.1","86.1","0.0","0.2","22.5"
"Brock Wright","DET","17.4","183.7","2.0","0.0","38.8"
"","high","23.0","275.0","5.0","0.0","57.7"
"","low","13.9","155.2","0.9","0.1","32.4"
"Robert Tonyan","CHI","18.6","207.6","1.4","0.0","38.7"
"","high","32.0","336.0","3.0","0.0","69.9"
"","low","5.7","52.7","0.5","0.0","17.7"
"C.J. Uzomah","NYJ","19.1","198.6","1.4","0.0","38.0"
"","high","25.0","261.0","3.0","0.0","69.8"
"","low","3.8","35.5","0.0","0.1","14.9"
"Durham Smythe","MIA","20.3","197.7","1.1","0.0","36.9"
"","high","23.9","239.1","1.7","0.0","68.9"
"","low","18.0","162.8","0.0","0.1","33.5"
"Brenton Strange","JAC","20.4","189.0","1.3","0.3","36.3"
"","high","24.0","225.0","2.0","0.0","59.1"
"","low","15.4","159.1","0.4","1.0","34.1"
"Jordan Akins","CLE","15.7","192.5","1.1","0.1","33.4"
"","high","32.6","404.8","2.4","0.0","95.2"
"","low","3.5","38.5","0.0","0.5","13.0"
"Josiah Deguara","GB","19.0","177.7","1.0","0.0","33.2"
"","high","25.1","251.9","1.9","0.0","52.3"
"","low","11.2","112.1","0.0","0.1","24.8"
"Harrison Bryant","CLE","17.2","179.4","1.0","0.2","32.5"
"","high","23.0","231.2","1.7","0.0","62.3"
"","low","7.0","68.2","0.5","0.7","18.2"
"Kylen Granson","IND","16.6","189.3","0.8","0.0","32.2"
"","high","25.0","275.9","1.8","0.0","69.5"
"","low","9.6","94.3","0.0","0.1","20.8"
"Brevin Jordan","HOU","16.0","202.2","0.6","0.0","31.6"
"","high","16.0","252.3","1.1","0.0","48.8"
"","low","16.0","152.2","0.0","0.0","29.9"
"Josh Oliver","MIN","15.6","156.1","1.2","0.0","30.4"
"","high","26.0","270.0","3.0","0.0","44.8"
"","low","4.1","36.7","0.0","0.1","13.5"
"Tommy Tremble","CAR","15.3","147.8","1.4","0.4","30.1"
"","high","22.0","204.6","3.0","0.0","58.9"
"","low","7.2","68.2","0.5","1.0","17.7"
"Tucker Kraft","GB","14.6","172.2","1.0","0.3","30.1"
"","high","23.0","277.8","2.0","0.0","52.3"
"","low","3.8","39.0","0.3","1.0","13.0"
"Ian Thomas","CAR","17.1","164.9","0.8","0.0","29.7"
"","high","22.0","210.0","1.0","0.0","37.1"
"","low","12.6","109.9","0.0","0.1","27.5"
"Mo Alie-Cox","IND","12.1","158.9","1.3","0.4","28.8"
"","high","15.0","245.0","3.0","0.0","45.1"
"","low","10.2","113.7","0.5","1.0","23.2"
"Jimmy Graham","NO","14.5","155.7","0.9","0.1","28.5"
"","high","27.2","317.4","2.2","0.0","79.7"
