"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Chris Godwin","TB","89.7","968.5","4.1","2.7","13.4","0.1","0.7","167.0"
"","high","98.8","1,103.2","5.7","4.3","24.6","0.2","0.0","284.0"
"","low","84.0","890.0","2.9","0.0","0.0","0.0","1.0","141.9"
"Christian Kirk","JAC","74.2","919.6","5.9","3.5","21.0","0.1","0.5","166.0"
"","high","82.5","1,063.9","7.0","4.7","33.7","0.2","0.0","254.7"
"","low","67.0","826.9","4.2","0.0","0.0","0.0","1.0","153.1"
"Tyler Lockett","SEA","75.8","905.2","5.8","0.2","0.7","0.0","0.6","162.2"
"","high","93.0","1,067.8","7.5","1.2","2.3","0.0","0.0","231.8"
"","low","67.0","848.0","5.0","0.0","0.0","0.0","1.0","146.9"
"Drake London","ATL","75.8","938.0","5.5","0.0","0.1","0.0","1.8","160.9"
"","high","77.0","978.6","6.0","0.0","0.8","0.0","0.0","243.4"
"","low","74.5","890.5","4.8","0.0","0.0","0.0","3.4","153.9"
"Marquise Brown","ARI","77.9","913.7","4.9","1.4","8.4","0.0","0.3","160.1"
"","high","91.8","1,042.5","5.5","4.6","27.3","0.2","0.0","219.9"
"","low","69.6","824.5","4.0","0.0","0.0","0.0","0.7","147.0"
"Diontae Johnson","PIT","80.5","914.2","4.3","4.6","25.2","0.0","0.5","158.9"
"","high","88.0","960.1","5.0","8.0","42.0","0.1","0.0","231.5"
"","low","72.5","834.0","3.0","0.0","0.0","0.0","1.2","134.3"
"Jerry Jeudy","DEN","64.9","948.6","4.9","1.5","14.7","0.0","0.2","157.9"
"","high","69.5","1,038.8","6.3","3.0","30.0","0.1","0.0","242.4"
"","low","61.0","832.0","2.5","0.0","0.0","0.0","0.6","139.6"
"Brandon Aiyuk","SF","64.7","892.2","5.4","2.7","18.4","0.2","0.6","155.6"
"","high","69.3","1,008.8","6.0","5.0","37.8","0.6","0.0","226.0"
"","low","58.0","802.0","4.5","0.0","0.0","0.0","1.0","139.3"
"Jahan Dotson","WAS","60.0","841.0","6.0","2.4","8.3","0.1","0.2","150.9"
"","high","66.8","974.9","8.2","7.5","43.7","0.4","0.0","226.6"
"","low","51.0","726.1","4.1","0.0","-7.0","0.0","0.7","140.1"
"Michael Pittman Jr.","IND","75.8","858.1","4.1","2.4","20.8","0.0","0.5","149.5"
"","high","84.3","992.3","5.7","4.7","39.0","0.2","0.0","244.8"
"","low","67.0","688.0","2.6","0.0","0.0","0.0","1.0","115.9"
"Gabe Davis","BUF","51.6","825.7","6.5","0.1","0.7","0.0","0.4","146.5"
"","high","61.2","943.4","7.0","0.3","4.4","0.0","0.0","211.9"
"","low","42.0","745.0","6.0","0.0","0.0","0.0","1.0","131.8"
"George Pickens","PIT","56.3","837.9","5.1","2.8","18.0","0.4","0.2","146.1"
"","high","65.4","892.3","6.0","4.5","28.0","1.1","0.0","192.8"
"","low","46.2","769.0","2.8","0.0","0.0","0.0","0.6","140.2"
"Brandin Cooks","DAL","62.0","813.5","4.7","3.0","19.5","0.1","0.1","143.2"
"","high","74.3","887.5","6.3","5.0","31.0","0.3","0.0","170.4"
"","low","40.2","617.8","3.0","0.0","0.0","0.0","0.4","131.0"
"Jordan Addison","MIN","60.9","813.4","5.0","2.5","14.1","0.1","0.7","142.1"
"","high","69.8","904.0","5.9","4.0","25.2","0.2","0.0","187.1"
"","low","56.8","713.1","4.5","0.0","0.0","0.0","2.0","139.4"
"JuJu Smith-Schuster","NE","72.5","801.2","3.9","0.2","1.0","0.1","0.7","138.6"
"","high","79.0","902.2","5.0","0.9","2.6","0.3","0.0","234.0"
"","low","65.0","742.9","2.5","0.0","0.0","0.0","1.1","118.2"
"Michael Thomas","NO","67.4","770.4","4.6","0.3","1.2","0.0","0.2","137.9"
"","high","77.4","936.5","7.0","1.0","6.2","0.0","0.0","244.1"
"","low","55.0","645.0","1.7","0.0","0.0","0.0","0.7","127.3"
"Courtland Sutton","DEN","60.0","811.4","4.2","0.5","2.7","0.0","0.1","136.6"
"","high","64.0","921.6","6.1","1.3","7.2","0.0","0.0","188.0"
"","low","56.0","740.6","1.7","0.0","0.0","0.0","0.4","115.0"
"Treylon Burks","TEN","57.3","786.8","3.9","6.8","52.4","0.1","0.2","136.3"
"","high","70.2","936.2","5.3","8.9","94.3","0.3","0.0","173.3"
"","low","50.0","636.1","2.0","5.0","26.2","0.0","0.7","114.6"
"Jaxon Smith-Njigba","SEA","57.1","770.1","4.5","1.2","8.5","0.0","0.7","132.5"
"","high","63.8","842.2","5.2","3.9","24.0","0.2","0.0","175.1"
"","low","51.8","667.6","4.0","0.0","0.0","0.0","2.0","120.5"
"Zay Flowers","BAL","54.6","749.8","4.8","2.1","14.6","0.1","0.7","131.7"
"","high","62.7","843.0","5.6","4.7","28.7","0.2","0.0","173.2"
"","low","48.9","679.9","3.9","0.0","0.0","0.0","2.0","126.1"
"Jakobi Meyers","LV","62.5","749.4","3.7","1.1","3.8","0.0","0.7","127.6"
"","high","69.5","806.7","4.7","2.2","12.9","0.1","0.0","207.4"
"","low","56.0","692.1","2.7","0.0","-5.0","0.0","1.1","119.3"
"Nico Collins","HOU","56.8","722.7","4.4","0.0","0.2","0.0","0.1","126.6"
"","high","61.3","808.2","5.4","0.0","0.8","0.0","0.0","198.9"
"","low","52.9","634.6","3.8","0.0","0.0","0.0","0.5","119.4"
"Allen Lazard","NYJ","54.6","689.4","4.7","2.1","12.4","0.0","0.1","125.9"
"","high","62.2","762.3","5.4","4.3","26.1","0.1","0.0","174.8"
"","low","50.2","642.6","4.0","0.0","0.0","0.0","0.3","117.3"
