"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","191.9","886.0","5.6","43.7","341.6","2.0","0.9","209.9"
"","low","132.7","774.0","4.0","21.0","179.0","1.0","2.0","133.6"
"David Montgomery","DET","194.3","777.1","6.3","33.4","277.0","1.2","1.0","164.6"
"","high","220.3","914.8","8.1","39.0","350.0","1.6","0.8","198.1"
"","low","163.0","610.0","4.2","28.5","220.0","0.7","1.4","135.7"
"Alvin Kamara","NO","170.2","702.6","3.6","41.8","360.8","1.7","1.1","157.0"
"","high","188.0","771.0","5.0","49.4","449.3","2.3","0.6","210.1"
"","low","156.5","639.3","1.8","28.9","223.6","0.8","2.0","132.9"
"Javonte Williams","DEN","167.8","782.8","4.6","34.8","246.5","1.5","1.6","153.6"
"","high","175.0","982.0","6.1","45.0","340.1","2.6","1.1","236.4"
"","low","158.0","717.0","3.0","16.4","113.4","0.9","2.0","122.4"
"D'Andre Swift","PHI","117.8","554.3","4.8","39.9","328.4","1.8","0.8","145.8"
"","high","131.0","681.0","6.0","51.1","474.5","2.2","0.7","207.7"
"","low","106.2","473.8","4.0","34.0","256.4","1.4","1.0","124.7"
"Khalil Herbert","CHI","173.0","849.0","5.0","20.8","138.7","0.8","0.4","143.3"
"","high","204.7","957.3","5.7","30.3","215.1","1.1","0.0","167.6"
"","low","154.0","735.0","3.8","14.0","93.3","0.0","1.0","126.4"
"Dalvin Cook","NYJ","178.3","767.2","4.6","27.4","207.5","1.0","1.6","141.8"
"","high","223.2","983.6","6.0","31.9","242.1","1.6","1.0","183.6"
"","low","129.0","579.0","4.0","22.0","171.0","0.3","2.0","112.7"
"AJ Dillon","GB","166.9","729.4","5.6","24.8","196.2","0.7","0.7","141.7"
"","high","186.0","782.0","6.2","32.0","247.9","1.0","0.4","180.3"
"","low","147.8","663.3","4.0","12.6","98.3","0.0","1.0","120.4"
"Samaje Perine","DEN","160.9","668.7","4.1","30.1","239.6","1.5","0.4","138.9"
"","high","204.5","878.9","5.5","36.0","286.6","2.0","0.0","164.9"
"","low","119.2","469.1","2.6","26.9","189.1","0.7","1.0","111.0"
"Antonio Gibson","WAS","139.1","559.0","3.6","42.6","309.7","1.4","1.1","136.4"
"","high","162.9","643.4","5.0","52.0","396.6","2.0","0.7","185.6"
"","low","107.6","427.6","2.8","33.0","239.8","0.8","1.7","115.3"
"Brian Robinson Jr.","WAS","209.3","881.7","4.3","16.2","105.0","0.7","0.5","136.0"
"","high","241.4","1,065.5","6.4","25.4","183.0","1.5","0.0","186.7"
"","low","184.0","755.0","1.6","7.4","43.1","0.0","1.0","121.1"
"Jeff Wilson Jr.","MIA","136.6","633.8","4.4","22.5","172.4","1.1","1.3","122.4"
"","high","156.0","831.9","6.5","31.0","258.9","1.6","1.0","195.8"
"","low","113.4","507.5","3.1","8.2","60.1","0.4","1.7","92.1"
"Jamaal Williams","NO","160.2","658.6","5.3","14.1","106.6","0.5","0.7","117.0"
"","high","185.0","716.1","6.4","21.7","165.5","1.4","0.5","137.1"
"","low","145.3","600.5","3.5","9.4","63.4","0.0","1.0","106.1"
