"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","610.8","406.2","4,836.8","37.7","11.2","64.9","356.8","3.2","1.9","384.0"
"","high","644.5","428.0","5,173.6","39.5","9.1","69.0","434.3","3.9","1.0","450.5"
"","low","555.7","374.0","4,467.7","33.1","12.9","59.2","305.8","2.9","3.8","366.5"
"Josh Allen","BUF","577.1","364.0","4,284.3","32.1","14.2","116.6","659.7","6.2","4.2","380.6"
"","high","616.0","391.1","4,598.2","34.0","10.8","128.0","703.0","7.5","2.2","446.5"
"","low","526.4","337.4","4,062.1","30.3","19.0","105.3","591.6","5.0","5.5","357.5"
"Jalen Hurts","PHI","494.2","318.2","3,806.5","23.5","10.1","157.5","800.3","11.0","2.9","376.5"
"","high","530.8","349.9","4,026.2","28.0","8.0","173.0","930.4","15.6","1.0","424.0"
"","low","457.0","291.1","3,507.4","18.8","14.3","141.8","670.2","7.7","4.6","337.5"
"Lamar Jackson","BAL","481.8","305.9","3,489.0","25.6","11.6","148.6","941.0","5.5","3.0","351.2"
"","high","536.0","330.0","3,705.0","28.0","10.0","170.7","1,082.1","7.4","1.5","396.1"
"","low","402.6","263.0","3,090.5","20.1","16.0","130.0","777.0","3.0","4.3","327.7"
"Joe Burrow","CIN","591.3","402.0","4,590.1","32.7","12.9","63.8","269.1","3.7","2.3","346.1"
"","high","634.5","425.3","4,780.5","34.0","11.6","70.3","423.6","4.6","0.6","400.1"
"","low","567.5","391.2","4,316.0","29.0","14.2","56.0","189.0","2.5","3.7","331.4"
"Justin Fields","CHI","415.0","257.0","2,970.9","20.9","12.7","153.1","1,029.0","6.8","3.3","326.9"
"","high","464.0","283.0","3,245.0","25.0","10.0","184.8","1,235.2","8.5","0.7","375.8"
"","low","351.8","213.3","2,626.8","17.3","18.0","136.0","912.2","6.0","5.9","308.9"
"Justin Herbert","LAC","627.2","421.6","4,594.4","30.1","12.7","57.2","220.8","2.0","2.0","321.6"
"","high","689.0","468.0","4,813.2","31.7","11.3","60.5","274.6","3.6","0.4","383.1"
"","low","591.1","397.5","4,304.9","29.0","15.9","54.0","173.0","1.0","3.8","296.1"
"Deshaun Watson","CLE","504.0","324.1","3,851.8","24.7","10.8","97.1","485.6","4.1","1.8","311.5"
"","high","544.0","342.0","4,021.6","28.1","9.0","113.3","552.0","7.0","0.5","338.0"
"","low","474.5","315.1","3,748.0","22.8","15.0","82.0","376.0","2.0","3.4","297.3"
"Dak Prescott","DAL","552.0","364.3","4,120.2","29.2","13.8","58.8","251.4","2.4","3.1","301.1"
"","high","580.4","378.5","4,218.9","32.0","12.9","66.0","304.6","3.1","1.8","342.9"
"","low","536.6","353.1","3,891.0","26.5","16.0","55.0","199.0","1.0","3.7","281.8"
