Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Patrick Mahomes II,KC,384.0,450.5,366.5,10.05,8.95625,14.20625,91.0,QB
Josh Allen,BUF,380.6,446.5,357.5,9.837500000000002,8.39375,13.95625,83.0,QB
Jalen Hurts,PHI,376.5,424.0,337.5,9.58125,7.143750000000001,12.55,74.0,QB
Lamar Jackson,BAL,351.2,396.1,327.7,8.0,6.53125,10.806250000000002,67.0,QB
Joe Burrow,CIN,346.1,400.1,331.4,7.681250000000002,6.762499999999999,11.056250000000002,60.0,QB
Justin Fields,CHI,326.9,375.8,308.9,6.481249999999999,5.356249999999999,9.537500000000001,55.0,QB
Justin Herbert,LAC,321.6,383.1,296.1,6.150000000000002,4.556250000000002,9.993750000000002,49.0,QB
Deshaun Watson,CLE,311.5,338.0,297.3,5.518750000000001,4.631250000000001,7.175000000000001,44.0,QB
Dak Prescott,DAL,301.1,342.9,281.8,4.868750000000002,3.6625000000000014,7.481249999999999,40.0,QB
Trevor Lawrence,JAC,300.9,348.3,282.3,4.856249999999999,3.6937500000000014,7.818750000000001,36.0,QB
Kirk Cousins,MIN,300.0,357.2,285.0,4.800000000000001,3.8625000000000007,8.375,32.0,QB
Daniel Jones,NYG,298.3,340.8,269.1,4.693750000000001,2.868750000000002,7.350000000000001,27.0,QB
Geno Smith,SEA,296.1,362.9,271.6,4.556250000000002,3.025000000000002,8.73125,23.0,QB
Aaron Rodgers,NYJ,280.9,329.3,270.5,3.6062499999999993,2.9562500000000007,6.631250000000001,20.0,QB
Tua Tagovailoa,MIA,280.4,323.7,252.7,3.5749999999999993,1.84375,6.28125,17.0,QB
Russell Wilson,DEN,279.6,309.5,253.3,3.525000000000002,1.8812500000000014,5.393750000000001,14.0,QB
Jared Goff,DET,276.2,332.0,244.1,3.3125,1.3062500000000004,6.800000000000001,11.0,QB
Anthony Richardson,IND,271.3,308.9,182.9,3.0062500000000014,-2.518749999999999,5.356249999999999,8.0,QB
Derek Carr,NO,254.8,287.1,238.4,1.9750000000000014,0.9500000000000011,3.993750000000002,7.0,QB
Jordan Love,GB,252.4,295.2,212.0,1.825000000000001,-0.6999999999999993,4.5,5.0,QB
Kenny Pickett,PIT,251.8,288.2,231.6,1.7875000000000014,0.5250000000000004,4.0625,4.0,QB
Matthew Stafford,LAR,247.8,304.5,233.0,1.5375000000000014,0.6125000000000007,5.081250000000001,2.0,QB
Brock Purdy,SF,243.2,283.6,201.3,1.25,-1.3687499999999986,3.775000000000002,1.0,QB
Bryce Young,CAR,238.2,263.6,207.5,0.9375,-0.9812499999999993,2.525000000000002,0.0,QB
Jimmy Garoppolo,LV,227.9,290.2,187.0,0.29375000000000107,-2.2624999999999993,4.1875,0.0,QB
Ryan Tannehill,TEN,223.2,243.3,192.9,0.0,-1.893749999999999,1.2562500000000014,0.0,QB
C.J. Stroud,HOU,218.7,262.4,185.4,-0.28125,-2.362499999999999,2.4499999999999993,0.0,QB
Mac Jones,NE,217.8,247.4,170.0,-0.3374999999999986,-3.3249999999999993,1.512500000000001,0.0,QB
Sam Howell,WAS,213.5,252.4,148.3,-0.6062499999999993,-4.681249999999999,1.825000000000001,0.0,QB
Kyler Murray,ARI,209.0,240.0,168.3,-0.8874999999999993,-3.4312499999999986,1.0500000000000007,0.0,QB
Baker Mayfield,TB,192.9,252.0,138.1,-1.893749999999999,-5.31875,1.8000000000000007,0.0,QB
Desmond Ridder,ATL,192.0,226.0,163.8,-1.9499999999999993,-3.7124999999999986,0.1750000000000007,0.0,QB
Jacoby Brissett,WAS,72.6,116.9,7.0,-9.4125,-13.5125,-6.643749999999999,0.0,QB
Colt McCoy,ARI,72.1,119.7,17.0,-9.44375,-12.8875,-6.468749999999999,0.0,QB
Kyle Trask,TB,69.8,99.4,7.0,-9.587499999999999,-13.5125,-7.737499999999999,0.0,QB
Will Levis,TEN,55.0,84.1,6.0,-10.5125,-13.575,-8.69375,0.0,QB
Trey Lance,DAL,50.1,111.6,7.0,-10.81875,-13.5125,-6.975,0.0,QB
Brian Hoyer,LV,44.7,75.8,16.2,-11.15625,-12.9375,-9.212499999999999,0.0,QB
Taylor Heinicke,ATL,43.4,67.7,13.0,-11.237499999999999,-13.1375,-9.71875,0.0,QB
Gardner Minshew II,IND,38.1,81.8,5.0,-11.56875,-13.6375,-8.837499999999999,0.0,QB
Sam Darnold,SF,33.6,44.7,2.5,-11.85,-13.79375,-11.15625,0.0,QB
Mike White,MIA,33.0,41.5,18.0,-11.8875,-12.825,-11.35625,0.0,QB
Brett Rypien,LAR,32.6,30.0,30.0,-11.9125,-12.075,-12.075,0.0,QB
Bailey Zappe,NE,30.8,48.3,4.0,-12.024999999999999,-13.7,-10.931249999999999,0.0,QB
Clayton Tune,ARI,29.6,25.2,25.2,-12.1,-12.375,-12.375,0.0,QB
Davis Mills,HOU,26.4,39.7,7.0,-12.299999999999999,-13.5125,-11.46875,0.0,QB
Tyrod Taylor,NYG,24.9,34.2,9.0,-12.393749999999999,-13.3875,-11.8125,0.0,QB
