Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Teddy Bridgewater,DET,19.6,26.0,9.0,-12.200000000000001,-12.8625,-11.8,0.0,QB
Zach Wilson,NYJ,19.5,20.4,16.5,-12.20625,-12.39375,-12.15,0.0,QB
Jameis Winston,NO,19.2,28.9,9.0,-12.225000000000001,-12.8625,-11.61875,0.0,QB
Easton Stick,LAC,19.2,18.6,18.6,-12.225000000000001,-12.262500000000001,-12.262500000000001,0.0,QB
Sean Clifford,GB,19.1,27.2,5.4,-12.231250000000001,-13.0875,-11.725000000000001,0.0,QB
Joshua Dobbs,CLE,19.0,28.6,7.0,-12.2375,-12.9875,-11.637500000000001,0.0,QB
Hendon Hooker,DET,19.0,16.2,16.2,-12.2375,-12.412500000000001,-12.412500000000001,0.0,QB
P.J. Walker,CHI,19.0,13.6,8.4,-12.2375,-12.9,-12.575000000000001,0.0,QB
Nick Mullens,MIN,18.7,26.8,4.0,-12.256250000000001,-13.175,-11.75,0.0,QB
Stetson Bennett,LAR,18.2,28.7,3.8,-12.287500000000001,-13.1875,-11.631250000000001,0.0,QB
Trevor Siemian,CIN,18.1,23.0,8.7,-12.293750000000001,-12.881250000000001,-11.9875,0.0,QB
Drew Lock,SEA,17.9,21.4,7.0,-12.30625,-12.9875,-12.0875,0.0,QB
C.J. Beathard,JAC,17.2,25.0,6.0,-12.350000000000001,-13.05,-11.8625,0.0,QB
Blaine Gabbert,KC,16.3,27.3,1.8,-12.40625,-13.3125,-11.71875,0.0,QB
Cooper Rush,DAL,16.1,19.7,6.0,-12.418750000000001,-13.05,-12.193750000000001,0.0,QB
David Blough,ARI,15.6,18.0,5.4,-12.450000000000001,-13.0875,-12.3,0.0,QB
Matt Corral,CAR,13.5,10.8,10.8,-12.58125,-12.75,-12.75,0.0,QB
Kyle Allen,BUF,13.2,10.2,6.0,-12.600000000000001,-13.05,-12.787500000000001,0.0,QB
Malik Willis,TEN,13.0,21.6,1.0,-12.6125,-13.3625,-12.075000000000001,0.0,QB
Aidan O'Connell,LV,12.5,16.2,7.6,-12.64375,-12.950000000000001,-12.412500000000001,0.0,QB
Dorian Thompson-Robinson,CLE,11.3,10.8,8.0,-12.71875,-12.925,-12.75,0.0,QB
Jaren Hall,MIN,10.9,9.0,8.0,-12.74375,-12.925,-12.8625,0.0,QB
Skylar Thompson,MIA,10.3,12.6,1.8,-12.78125,-13.3125,-12.637500000000001,0.0,QB
Max Duggan,LAC,10.1,8.0,8.0,-12.793750000000001,-12.925,-12.925,0.0,QB
Nate Sudfeld,DET,10.0,9.7,9.7,-12.8,-12.818750000000001,-12.818750000000001,0.0,QB
Tanner McKee,PHI,9.4,8.0,8.0,-12.8375,-12.925,-12.925,0.0,QB
Case Keenum,HOU,9.1,13.6,1.8,-12.856250000000001,-13.3125,-12.575000000000001,0.0,QB
Jake Haener,NO,9.1,8.0,8.0,-12.856250000000001,-12.925,-12.925,0.0,QB
Matt Barkley,BUF,8.4,7.9,7.9,-12.9,-12.93125,-12.93125,0.0,QB
Tommy DeVito,NYG,1.3,1.3,1.3,-13.34375,-13.34375,-13.34375,0.0,QB
Shane Buechele,KC,1.0,1.0,1.0,-13.3625,-13.3625,-13.3625,0.0,QB
Mason Rudolph,PIT,0.8,0.8,0.8,-13.375,-13.375,-13.375,0.0,QB
Will Grier,DAL,0.4,0.4,0.4,-13.4,-13.4,-13.4,0.0,QB
Josh Johnson,BAL,0.0,0.6,0.6,-13.425,-13.387500000000001,-13.387500000000001,0.0,QB
Christian McCaffrey,SF,268.5,360.7,234.5,10.24375,8.11875,16.00625,95.0,RB
Austin Ekeler,LAC,261.0,353.6,246.8,9.775,8.887500000000001,15.562500000000002,89.0,RB
Josh Jacobs,LV,234.6,305.8,190.3,8.125,5.356250000000001,12.575000000000001,85.0,RB
Bijan Robinson,ATL,233.3,267.3,210.8,8.043750000000001,6.637500000000001,10.168750000000001,81.0,RB
Nick Chubb,CLE,232.4,278.5,180.8,7.987500000000001,4.762500000000001,10.86875,77.0,RB
Derrick Henry,TEN,232.1,293.3,183.9,7.96875,4.956250000000001,11.793750000000001,72.0,RB
Saquon Barkley,NYG,231.5,287.2,198.2,7.93125,5.85,11.4125,68.0,RB
Tony Pollard,DAL,227.7,267.2,185.5,7.69375,5.05625,10.1625,64.0,RB
Joe Mixon,CIN,217.9,317.3,175.5,7.081250000000001,4.43125,13.293750000000001,60.0,RB
Rhamondre Stevenson,NE,215.2,311.9,170.9,6.9125,4.143750000000001,12.956249999999999,57.0,RB
Jonathan Taylor,IND,214.7,252.5,186.0,6.88125,5.0875,9.24375,53.0,RB
Aaron Jones,GB,210.5,286.8,171.7,6.61875,4.19375,11.387500000000001,50.0,RB
Breece Hall,NYJ,202.8,257.8,166.7,6.137500000000001,3.8812499999999996,9.575000000000001,46.0,RB
Najee Harris,PIT,202.7,241.2,159.1,6.13125,3.40625,8.5375,43.0,RB
Travis Etienne Jr.,JAC,197.3,241.2,155.2,5.793750000000001,3.1624999999999996,8.5375,40.0,RB
Alexander Mattison,MIN,188.1,245.5,156.7,5.21875,3.2562499999999996,8.80625,37.0,RB
James Conner,ARI,188.1,252.4,160.7,5.21875,3.5062499999999996,9.2375,35.0,RB
Kenneth Walker III,SEA,187.6,218.8,149.8,5.1875,2.825000000000001,7.137500000000001,32.0,RB
Jahmyr Gibbs,DET,183.1,220.1,152.1,4.90625,2.96875,7.21875,29.0,RB
Dameon Pierce,HOU,182.1,220.7,166.3,4.84375,3.856250000000001,7.25625,27.0,RB
Rachaad White,TB,175.0,242.2,122.6,4.4,1.125,8.6,24.0,RB
Miles Sanders,CAR,174.0,210.6,135.9,4.3375,1.9562500000000007,6.625,22.0,RB
Isiah Pacheco,KC,168.8,221.8,129.5,4.012500000000001,1.5562500000000004,7.325000000000001,20.0,RB
Cam Akers,LAR,168.4,199.2,123.3,3.9875000000000007,1.1687500000000002,5.9125,18.0,RB
J.K. Dobbins,BAL,166.3,186.6,143.5,3.856250000000001,2.4312500000000004,5.125,16.0,RB
David Montgomery,DET,164.9,198.0,138.6,3.7687500000000007,2.125,5.8375,14.0,RB
Javonte Williams,DEN,158.4,237.4,133.4,3.3625000000000007,1.8000000000000007,8.3,12.0,RB
James Cook,BUF,157.5,216.6,126.5,3.3062500000000004,1.3687500000000004,7.0,10.0,RB
Alvin Kamara,NO,155.3,217.2,123.5,3.168750000000001,1.1812500000000004,7.0375,9.0,RB
D'Andre Swift,PHI,154.1,212.7,133.0,3.09375,1.7750000000000004,6.75625,7.0,RB
AJ Dillon,GB,145.0,180.8,117.9,2.5250000000000004,0.8312500000000007,4.762500000000001,6.0,RB
Brian Robinson Jr.,WAS,137.9,186.7,121.2,2.0812500000000007,1.0375000000000005,5.13125,5.0,RB
Antonio Gibson,WAS,134.1,181.9,113.6,1.84375,0.5625,4.831250000000001,4.0,RB
Samaje Perine,DEN,131.7,164.4,109.5,1.6937499999999996,0.30625000000000036,3.7375000000000007,3.0,RB
Khalil Herbert,CHI,127.0,166.5,108.3,1.4000000000000004,0.23125000000000018,3.8687500000000004,2.0,RB
Jeff Wilson Jr.,MIA,124.0,195.8,84.7,1.2125000000000004,-1.2437499999999995,5.700000000000001,1.0,RB
Rashaad Penny,PHI,120.1,135.4,109.5,0.96875,0.30625000000000036,1.9250000000000007,1.0,RB
Jamaal Williams,NO,115.8,141.3,100.8,0.7000000000000002,-0.23749999999999982,2.293750000000001,0.0,RB
Raheem Mostert,MIA,112.0,134.0,90.8,0.46250000000000036,-0.8624999999999998,1.8375000000000004,0.0,RB
Elijah Mitchell,SF,110.3,131.3,98.5,0.3562500000000002,-0.38124999999999964,1.668750000000001,0.0,RB
Tyler Allgeier,ATL,104.6,137.7,89.8,0.0,-0.9249999999999998,2.0687499999999996,0.0,RB
Jerick McKinnon,KC,103.3,131.9,71.7,-0.08124999999999982,-2.0562499999999995,1.7062500000000007,0.0,RB
Damien Harris,BUF,102.8,127.5,86.9,-0.11249999999999982,-1.1062499999999993,1.4312500000000004,0.0,RB
Devin Singletary,HOU,102.6,137.5,82.5,-0.125,-1.3812499999999996,2.0562500000000004,0.0,RB
Zach Charbonnet,SEA,99.9,136.0,56.9,-0.2937499999999993,-2.9812499999999997,1.9625000000000004,0.0,RB
Chuba Hubbard,CAR,98.6,161.3,75.2,-0.375,-1.8374999999999995,3.543750000000001,0.0,RB
D'Onta Foreman,CHI,96.5,135.5,79.5,-0.5062499999999996,-1.5687499999999996,1.9312500000000004,0.0,RB
Jaylen Warren,PIT,96.1,119.5,72.6,-0.53125,-2.0,0.9312500000000004,0.0,RB
De'Von Achane,MIA,95.0,131.4,88.4,-0.5999999999999996,-1.0124999999999993,1.6750000000000007,0.0,RB
Kenneth Gainwell,PHI,80.9,106.4,74.8,-1.4812499999999993,-1.8624999999999998,0.11250000000000071,0.0,RB
Gus Edwards,BAL,79.6,91.8,42.2,-1.5625,-3.8999999999999995,-0.7999999999999998,0.0,RB
Tank Bigsby,JAC,78.2,104.8,65.7,-1.6499999999999995,-2.4312499999999995,0.012500000000000178,0.0,RB
Chase Edmonds,TB,76.9,123.0,58.6,-1.7312499999999993,-2.8749999999999996,1.1500000000000004,0.0,RB
Roschon Johnson,CHI,75.4,96.2,67.6,-1.8249999999999993,-2.3125,-0.5249999999999995,0.0,RB
Cordarrelle Patterson,ATL,74.4,89.5,70.6,-1.8874999999999993,-2.125,-0.9437499999999996,0.0,RB
Zonovan Knight,NYJ,72.6,91.8,72.9,-2.0,-1.9812499999999993,-0.7999999999999998,0.0,RB
Joshua Kelley,LAC,69.4,100.3,40.8,-2.1999999999999993,-3.9875,-0.2687499999999998,0.0,RB
Tyjae Spears,TEN,68.3,86.9,63.2,-2.26875,-2.5874999999999995,-1.1062499999999993,0.0,RB
Clyde Edwards-Helaire,KC,66.5,92.2,40.8,-2.3812499999999996,-3.9875,-0.7749999999999995,0.0,RB
Chase Brown,CIN,66.2,85.8,43.6,-2.3999999999999995,-3.8124999999999996,-1.1749999999999998,0.0,RB
Michael Carter,NYJ,66.0,107.7,32.6,-2.4124999999999996,-4.5,0.19375000000000053,0.0,RB
Jerome Ford,CLE,62.5,93.7,29.6,-2.6312499999999996,-4.6875,-0.6812499999999995,0.0,RB
Kendre Miller,NO,62.0,105.5,29.4,-2.6624999999999996,-4.699999999999999,0.056250000000000355,0.0,RB
Israel Abanikanda,NYJ,57.9,80.7,74.1,-2.9187499999999997,-1.90625,-1.4937499999999995,0.0,RB
Keaontay Ingram,ARI,57.9,79.5,47.6,-2.9187499999999997,-3.5624999999999996,-1.5687499999999996,0.0,RB
Kyren Williams,LAR,57.7,77.4,37.2,-2.9312499999999995,-4.2124999999999995,-1.6999999999999993,0.0,RB
Pierre Strong Jr.,NE,57.5,81.1,49.1,-2.9437499999999996,-3.4687499999999996,-1.46875,0.0,RB
Ronald Jones II,DAL,54.5,63.6,45.0,-3.1312499999999996,-3.7249999999999996,-2.5624999999999996,0.0,RB
Ty Chandler,MIN,51.8,71.8,6.9,-3.3,-6.106249999999999,-2.05,0.0,RB
Zack Moss,IND,50.8,70.8,47.3,-3.3625,-3.58125,-2.1125,0.0,RB
Matt Breida,NYG,50.5,85.8,30.4,-3.3812499999999996,-4.637499999999999,-1.1749999999999998,0.0,RB
Latavius Murray,BUF,50.0,96.2,24.3,-3.4124999999999996,-5.01875,-0.5249999999999995,0.0,RB
Isaiah Spiller,LAC,47.9,69.5,39.7,-3.5437499999999997,-4.0562499999999995,-2.1937499999999996,0.0,RB
Corey Clement,ARI,44.9,73.9,24.8,-3.7312499999999997,-4.9875,-1.9187499999999993,0.0,RB
Kenyan Drake,IND,44.9,93.3,18.3,-3.7312499999999997,-5.39375,-0.7062499999999998,0.0,RB
Malik Davis,DAL,44.4,53.3,15.9,-3.7624999999999997,-5.543749999999999,-3.20625,0.0,RB
Zach Evans,LAR,44.3,74.9,35.5,-3.76875,-4.31875,-1.8562499999999993,0.0,RB
Melvin Gordon III,BAL,43.9,97.4,35.9,-3.7937499999999997,-4.293749999999999,-0.4499999999999993,0.0,RB
Deuce Vaughn,DAL,42.5,75.1,17.6,-3.8812499999999996,-5.4375,-1.84375,0.0,RB
Ty Montgomery,NE,41.6,61.4,22.5,-3.9374999999999996,-5.13125,-2.6999999999999997,0.0,RB
JaMycal Hasty,JAC,41.5,71.9,16.8,-3.9437499999999996,-5.4875,-2.0437499999999993,0.0,RB
Eric Gray,NYG,40.9,60.2,42.0,-3.9812499999999997,-3.9124999999999996,-2.7749999999999995,0.0,RB
Ameer Abdullah,LV,39.8,52.7,28.4,-4.05,-4.762499999999999,-3.2437499999999995,0.0,RB
Deon Jackson,IND,39.3,42.8,38.9,-4.08125,-4.106249999999999,-3.8625,0.0,RB
Royce Freeman,LAR,37.4,101.8,13.9,-4.199999999999999,-5.668749999999999,-0.17499999999999982,0.0,RB
DeeJay Dallas,SEA,37.1,75.6,36.2,-4.21875,-4.2749999999999995,-1.8125,0.0,RB
Sean Tucker,TB,36.4,50.3,46.7,-4.262499999999999,-3.6187499999999995,-3.39375,0.0,RB
Hassan Haskins,TEN,35.5,51.1,32.0,-4.31875,-4.5375,-3.3437499999999996,0.0,RB
Ke'Shawn Vaughn,TB,35.0,56.5,17.8,-4.35,-5.425,-3.0062499999999996,0.0,RB
Kevin Harris,NE,32.6,30.4,26.1,-4.5,-4.90625,-4.637499999999999,0.0,RB
Jordan Mason,SF,32.5,61.5,8.4,-4.50625,-6.012499999999999,-2.6937499999999996,0.0,RB
Kene Nwangwu,MIN,31.4,32.7,24.0,-4.574999999999999,-5.0375,-4.4937499999999995,0.0,RB
Raheem Blackshear,CAR,31.3,45.0,17.6,-4.58125,-5.4375,-3.7249999999999996,0.0,RB
Chris Rodriguez Jr.,WAS,30.2,49.3,16.2,-4.6499999999999995,-5.5249999999999995,-3.45625,0.0,RB
Evan Hull,IND,30.1,53.0,15.6,-4.65625,-5.5625,-3.2249999999999996,0.0,RB
DeWayne McBride,MIN,29.7,66.8,13.0,-4.6812499999999995,-5.725,-2.3625,0.0,RB
Zamir White,LV,29.6,81.4,8.4,-4.6875,-6.012499999999999,-1.4499999999999993,0.0,RB
Trayveon Williams,CIN,29.6,37.2,5.6,-4.6875,-6.1875,-4.2124999999999995,0.0,RB
Boston Scott,PHI,28.0,61.3,8.6,-4.7875,-6.0,-2.70625,0.0,RB
Chris Evans,CIN,26.4,46.3,19.5,-4.887499999999999,-5.31875,-3.64375,0.0,RB
Travis Homer,CHI,26.4,54.2,11.6,-4.887499999999999,-5.8125,-3.1499999999999995,0.0,RB
Anthony McFarland Jr.,PIT,26.1,67.8,13.5,-4.90625,-5.69375,-2.3,0.0,RB
Kyle Juszczyk,SF,26.0,36.1,23.5,-4.9125,-5.06875,-4.28125,0.0,RB
J.J. Taylor,NE,25.6,49.1,9.4,-4.9375,-5.949999999999999,-3.4687499999999996,0.0,RB
Sincere McCormick,LV,25.5,15.0,15.0,-4.94375,-5.6,-5.6,0.0,RB
Patrick Taylor Jr.,GB,25.3,34.5,20.4,-4.95625,-5.262499999999999,-4.38125,0.0,RB
Jonathan Williams,WAS,24.7,36.6,6.1,-4.9937499999999995,-6.15625,-4.25,0.0,RB
Kenny McIntosh,SEA,24.3,32.6,14.0,-5.01875,-5.6625,-4.5,0.0,RB
Brandon Bolden,LV,24.3,43.3,18.6,-5.01875,-5.375,-3.83125,0.0,RB
D'Ernest Johnson,JAC,23.9,55.1,9.4,-5.043749999999999,-5.949999999999999,-3.0937499999999996,0.0,RB
Tony Jones Jr.,DEN,23.6,31.2,5.7,-5.0625,-6.1812499999999995,-4.5874999999999995,0.0,RB
