Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Jameis Winston,NO,19.2,28.9,9.0,-10.83125,-11.46875,-10.225,0.0,QB
Easton Stick,LAC,19.2,18.6,18.6,-10.83125,-10.86875,-10.86875,0.0,QB
Sean Clifford,GB,19.1,27.2,5.4,-10.8375,-11.69375,-10.33125,0.0,QB
Joshua Dobbs,CLE,19.0,28.6,7.0,-10.84375,-11.59375,-10.24375,0.0,QB
Hendon Hooker,DET,19.0,16.2,16.2,-10.84375,-11.01875,-11.01875,0.0,QB
P.J. Walker,CHI,19.0,13.6,8.4,-10.84375,-11.50625,-11.18125,0.0,QB
Nick Mullens,MIN,18.7,26.8,4.0,-10.8625,-11.78125,-10.35625,0.0,QB
Stetson Bennett,LAR,18.2,28.7,3.8,-10.89375,-11.79375,-10.2375,0.0,QB
Trevor Siemian,CIN,18.1,23.0,8.7,-10.9,-11.4875,-10.59375,0.0,QB
Drew Lock,SEA,17.9,21.4,7.0,-10.9125,-11.59375,-10.69375,0.0,QB
C.J. Beathard,JAC,17.2,25.0,6.0,-10.95625,-11.65625,-10.46875,0.0,QB
Blaine Gabbert,KC,16.3,27.3,1.8,-11.0125,-11.91875,-10.325,0.0,QB
Cooper Rush,DAL,16.1,19.7,6.0,-11.025,-11.65625,-10.8,0.0,QB
David Blough,ARI,15.6,18.0,5.4,-11.05625,-11.69375,-10.90625,0.0,QB
Matt Corral,CAR,13.5,10.8,10.8,-11.1875,-11.35625,-11.35625,0.0,QB
Kyle Allen,BUF,13.2,10.2,6.0,-11.20625,-11.65625,-11.39375,0.0,QB
Malik Willis,TEN,13.0,21.6,1.0,-11.21875,-11.96875,-10.68125,0.0,QB
Aidan O'Connell,LV,12.5,16.2,7.6,-11.25,-11.55625,-11.01875,0.0,QB
Dorian Thompson-Robinson,CLE,11.3,10.8,8.0,-11.325,-11.53125,-11.35625,0.0,QB
Jaren Hall,MIN,10.9,9.0,8.0,-11.35,-11.53125,-11.46875,0.0,QB
Skylar Thompson,MIA,10.3,12.6,1.8,-11.3875,-11.91875,-11.24375,0.0,QB
Max Duggan,LAC,10.1,8.0,8.0,-11.4,-11.53125,-11.53125,0.0,QB
Nate Sudfeld,DET,10.0,9.7,9.7,-11.40625,-11.425,-11.425,0.0,QB
Tanner McKee,PHI,9.4,8.0,8.0,-11.44375,-11.53125,-11.53125,0.0,QB
Case Keenum,HOU,9.1,13.6,1.8,-11.4625,-11.91875,-11.18125,0.0,QB
Jake Haener,NO,9.1,8.0,8.0,-11.4625,-11.53125,-11.53125,0.0,QB
Matt Barkley,BUF,8.4,7.9,7.9,-11.50625,-11.5375,-11.5375,0.0,QB
Tommy DeVito,NYG,1.3,1.3,1.3,-11.95,-11.95,-11.95,0.0,QB
Shane Buechele,KC,1.0,1.0,1.0,-11.96875,-11.96875,-11.96875,0.0,QB
Mason Rudolph,PIT,0.8,0.8,0.8,-11.98125,-11.98125,-11.98125,0.0,QB
Will Grier,DAL,0.4,0.4,0.4,-12.00625,-12.00625,-12.00625,0.0,QB
Josh Johnson,BAL,0.0,0.6,0.6,-12.03125,-11.99375,-11.99375,0.0,QB
Christian McCaffrey,SF,268.5,360.7,234.5,9.54375,7.41875,15.306249999999999,94.0,RB
Austin Ekeler,LAC,261.0,353.6,246.8,9.075,8.1875,14.8625,88.0,RB
Josh Jacobs,LV,234.6,305.8,190.3,7.425,4.656250000000001,11.875,84.0,RB
Bijan Robinson,ATL,233.3,267.3,210.8,7.343750000000001,5.937500000000001,9.46875,79.0,RB
Nick Chubb,CLE,232.4,278.5,180.8,7.2875000000000005,4.062500000000001,10.16875,75.0,RB
Derrick Henry,TEN,232.1,293.3,183.9,7.26875,4.2562500000000005,11.09375,70.0,RB
Saquon Barkley,NYG,231.5,287.2,198.2,7.23125,5.1499999999999995,10.712499999999999,66.0,RB
Tony Pollard,DAL,227.7,267.2,185.5,6.9937499999999995,4.35625,9.462499999999999,62.0,RB
Joe Mixon,CIN,217.9,317.3,175.5,6.3812500000000005,3.73125,12.59375,58.0,RB
Rhamondre Stevenson,NE,215.2,311.9,170.9,6.2124999999999995,3.4437500000000005,12.256249999999998,54.0,RB
Jonathan Taylor,IND,214.7,252.5,186.0,6.1812499999999995,4.3875,8.54375,50.0,RB
Aaron Jones,GB,210.5,286.8,171.7,5.91875,3.4937499999999995,10.6875,46.0,RB
Breece Hall,NYJ,202.8,257.8,166.7,5.437500000000001,3.1812499999999995,8.875,43.0,RB
Najee Harris,PIT,202.7,241.2,159.1,5.4312499999999995,2.70625,7.8374999999999995,40.0,RB
Travis Etienne Jr.,JAC,197.3,241.2,155.2,5.093750000000001,2.4624999999999995,7.8374999999999995,36.0,RB
Alexander Mattison,MIN,188.1,245.5,156.7,4.51875,2.5562499999999995,8.10625,34.0,RB
James Conner,ARI,188.1,252.4,160.7,4.51875,2.8062499999999995,8.537500000000001,31.0,RB
Kenneth Walker III,SEA,187.6,218.8,149.8,4.4875,2.125000000000001,6.437500000000001,28.0,RB
Jahmyr Gibbs,DET,183.1,220.1,152.1,4.20625,2.26875,6.51875,25.0,RB
Dameon Pierce,HOU,182.1,220.7,166.3,4.14375,3.156250000000001,6.5562499999999995,23.0,RB
Rachaad White,TB,175.0,242.2,122.6,3.7,0.4249999999999998,7.8999999999999995,21.0,RB
Miles Sanders,CAR,174.0,210.6,135.9,3.6375,1.2562500000000005,5.925,18.0,RB
Isiah Pacheco,KC,168.8,221.8,129.5,3.312500000000001,0.8562500000000002,6.625000000000001,16.0,RB
Cam Akers,LAR,168.4,199.2,123.3,3.2875000000000005,0.46875,5.2124999999999995,14.0,RB
J.K. Dobbins,BAL,166.3,186.6,143.5,3.156250000000001,1.7312500000000002,4.425,12.0,RB
David Montgomery,DET,164.9,198.0,138.6,3.0687500000000005,1.4249999999999998,5.1375,10.0,RB
Javonte Williams,DEN,158.4,237.4,133.4,2.6625000000000005,1.1000000000000005,7.6000000000000005,9.0,RB
James Cook,BUF,157.5,216.6,126.5,2.60625,0.6687500000000002,6.3,7.0,RB
Alvin Kamara,NO,155.3,217.2,123.5,2.468750000000001,0.4812500000000002,6.3374999999999995,6.0,RB
D'Andre Swift,PHI,154.1,212.7,133.0,2.39375,1.0750000000000002,6.0562499999999995,4.0,RB
AJ Dillon,GB,145.0,180.8,117.9,1.8250000000000002,0.13125000000000053,4.062500000000001,3.0,RB
Brian Robinson Jr.,WAS,137.9,186.7,121.2,1.3812500000000005,0.33750000000000036,4.4312499999999995,2.0,RB
Antonio Gibson,WAS,134.1,181.9,113.6,1.1437499999999998,-0.13750000000000018,4.1312500000000005,2.0,RB
Samaje Perine,DEN,131.7,164.4,109.5,0.9937499999999995,-0.3937499999999998,3.0375000000000005,1.0,RB
Khalil Herbert,CHI,127.0,166.5,108.3,0.7000000000000002,-0.46875,3.16875,0.0,RB
Jeff Wilson Jr.,MIA,124.0,195.8,84.7,0.5125000000000002,-1.9437499999999996,5.000000000000001,0.0,RB
Rashaad Penny,PHI,120.1,135.4,109.5,0.2687499999999998,-0.3937499999999998,1.2250000000000005,0.0,RB
Jamaal Williams,NO,115.8,141.3,100.8,0.0,-0.9375,1.5937500000000009,0.0,RB
Raheem Mostert,MIA,112.0,134.0,90.8,-0.23749999999999982,-1.5625,1.1375000000000002,0.0,RB
Elijah Mitchell,SF,110.3,131.3,98.5,-0.34375,-1.0812499999999998,0.9687500000000009,0.0,RB
Tyler Allgeier,ATL,104.6,137.7,89.8,-0.7000000000000002,-1.625,1.3687499999999995,0.0,RB
Jerick McKinnon,KC,103.3,131.9,71.7,-0.78125,-2.7562499999999996,1.0062500000000005,0.0,RB
Damien Harris,BUF,102.8,127.5,86.9,-0.8125,-1.8062499999999995,0.7312500000000002,0.0,RB
Devin Singletary,HOU,102.6,137.5,82.5,-0.8250000000000002,-2.08125,1.3562500000000002,0.0,RB
Zach Charbonnet,SEA,99.9,136.0,56.9,-0.9937499999999995,-3.68125,1.2625000000000002,0.0,RB
Chuba Hubbard,CAR,98.6,161.3,75.2,-1.0750000000000002,-2.5374999999999996,2.843750000000001,0.0,RB
D'Onta Foreman,CHI,96.5,135.5,79.5,-1.2062499999999998,-2.26875,1.2312500000000002,0.0,RB
Jaylen Warren,PIT,96.1,119.5,72.6,-1.2312500000000002,-2.7,0.23125000000000018,0.0,RB
De'Von Achane,MIA,95.0,131.4,88.4,-1.2999999999999998,-1.7124999999999995,0.9750000000000005,0.0,RB
Kenneth Gainwell,PHI,80.9,106.4,74.8,-2.1812499999999995,-2.5625,-0.5874999999999995,0.0,RB
Gus Edwards,BAL,79.6,91.8,42.2,-2.2625,-4.6,-1.5,0.0,RB
Tank Bigsby,JAC,78.2,104.8,65.7,-2.3499999999999996,-3.1312499999999996,-0.6875,0.0,RB
Chase Edmonds,TB,76.9,123.0,58.6,-2.4312499999999995,-3.5749999999999997,0.4500000000000002,0.0,RB
Roschon Johnson,CHI,75.4,96.2,67.6,-2.5249999999999995,-3.0125,-1.2249999999999996,0.0,RB
Cordarrelle Patterson,ATL,74.4,89.5,70.6,-2.5874999999999995,-2.825,-1.6437499999999998,0.0,RB
Zonovan Knight,NYJ,72.6,91.8,72.9,-2.7,-2.6812499999999995,-1.5,0.0,RB
Joshua Kelley,LAC,69.4,100.3,40.8,-2.8999999999999995,-4.6875,-0.96875,0.0,RB
Tyjae Spears,TEN,68.3,86.9,63.2,-2.96875,-3.2874999999999996,-1.8062499999999995,0.0,RB
Clyde Edwards-Helaire,KC,66.5,92.2,40.8,-3.08125,-4.6875,-1.4749999999999996,0.0,RB
Chase Brown,CIN,66.2,85.8,43.6,-3.0999999999999996,-4.512499999999999,-1.875,0.0,RB
Michael Carter,NYJ,66.0,107.7,32.6,-3.1125,-5.199999999999999,-0.5062499999999996,0.0,RB
Jerome Ford,CLE,62.5,93.7,29.6,-3.33125,-5.387499999999999,-1.3812499999999996,0.0,RB
Kendre Miller,NO,62.0,105.5,29.4,-3.3625,-5.4,-0.6437499999999998,0.0,RB
Israel Abanikanda,NYJ,57.9,80.7,74.1,-3.61875,-2.60625,-2.1937499999999996,0.0,RB
Keaontay Ingram,ARI,57.9,79.5,47.6,-3.61875,-4.262499999999999,-2.26875,0.0,RB
Kyren Williams,LAR,57.7,77.4,37.2,-3.6312499999999996,-4.9125,-2.3999999999999995,0.0,RB
Pierre Strong Jr.,NE,57.5,81.1,49.1,-3.64375,-4.168749999999999,-2.16875,0.0,RB
Ronald Jones II,DAL,54.5,63.6,45.0,-3.83125,-4.425,-3.2624999999999997,0.0,RB
Ty Chandler,MIN,51.8,71.8,6.9,-4.0,-6.8062499999999995,-2.75,0.0,RB
Zack Moss,IND,50.8,70.8,47.3,-4.0625,-4.28125,-2.8125,0.0,RB
Matt Breida,NYG,50.5,85.8,30.4,-4.08125,-5.3375,-1.875,0.0,RB
Latavius Murray,BUF,50.0,96.2,24.3,-4.1125,-5.71875,-1.2249999999999996,0.0,RB
