Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Patrick Mahomes II,KC,383.4,434.0,366.5,9.95,8.89375,13.1125,91.0,QB
Jalen Hurts,PHI,381.1,427.0,370.6,9.806250000000002,9.150000000000002,12.675,83.0,QB
Josh Allen,BUF,380.5,393.5,371.9,9.76875,9.23125,10.58125,74.0,QB
Lamar Jackson,BAL,352.2,367.0,338.6,8.0,7.150000000000002,8.925,67.0,QB
Joe Burrow,CIN,347.8,366.4,330.9,7.725000000000001,6.668749999999999,8.8875,61.0,QB
Justin Fields,CHI,326.3,333.0,310.4,6.381250000000001,5.387499999999999,6.800000000000001,55.0,QB
Justin Herbert,LAC,321.6,341.0,319.6,6.087500000000002,5.962500000000002,7.300000000000001,50.0,QB
Deshaun Watson,CLE,317.9,343.0,299.9,5.856249999999999,4.731249999999999,7.425000000000001,45.0,QB
Dak Prescott,DAL,304.3,315.0,292.4,5.006250000000001,4.262499999999999,5.675000000000001,40.0,QB
Trevor Lawrence,JAC,303.3,318.0,289.2,4.943750000000001,4.0625,5.862500000000001,36.0,QB
Kirk Cousins,MIN,300.9,338.0,285.5,4.793749999999999,3.8312500000000007,7.112500000000001,32.0,QB
Daniel Jones,NYG,298.6,313.0,289.0,4.650000000000002,4.050000000000001,5.550000000000001,28.0,QB
Geno Smith,SEA,294.4,305.5,282.2,4.387499999999999,3.625,5.081250000000001,24.0,QB
Aaron Rodgers,NYJ,287.5,315.0,278.8,3.9562500000000007,3.4125000000000014,5.675000000000001,20.0,QB
Russell Wilson,DEN,287.0,321.0,253.3,3.9250000000000007,1.8187500000000014,6.050000000000001,17.0,QB
Jared Goff,DET,279.0,332.0,256.7,3.4250000000000007,2.03125,6.737500000000001,14.0,QB
Tua Tagovailoa,MIA,277.6,293.4,252.7,3.337500000000002,1.78125,4.324999999999999,11.0,QB
Anthony Richardson,IND,269.5,292.0,182.9,2.8312500000000007,-2.581249999999999,4.237500000000001,9.0,QB
Derek Carr,NO,256.4,267.7,239.7,2.0124999999999993,0.96875,2.71875,7.0,QB
Kenny Pickett,PIT,252.8,262.0,231.6,1.7875000000000014,0.46250000000000036,2.3625000000000007,5.0,QB
Jordan Love,GB,252.2,267.2,241.0,1.75,1.0500000000000007,2.6875,4.0,QB
Matthew Stafford,LAR,251.5,253.5,241.0,1.7062500000000007,1.0500000000000007,1.8312500000000007,2.0,QB
Brock Purdy,SF,246.4,286.0,239.7,1.387500000000001,0.96875,3.8625000000000007,1.0,QB
Bryce Young,CAR,244.2,269.0,228.1,1.25,0.24375000000000036,2.8000000000000007,0.0,QB
C.J. Stroud,HOU,226.2,236.1,216.0,0.125,-0.5124999999999993,0.7437500000000004,0.0,QB
Jimmy Garoppolo,LV,224.2,250.3,175.1,0.0,-3.0687499999999996,1.6312500000000014,0.0,QB
Ryan Tannehill,TEN,224.1,243.1,192.9,-0.006249999999999645,-1.956249999999999,1.1812500000000004,0.0,QB
