Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Jalen Nailor,MIN,14.9,34.6,9.8,-7.6625,-7.98125,-6.43125,0.0,WR
Denzel Mims,DET,14.5,18.4,14.5,-7.6875,-7.6875,-7.44375,0.0,WR
Jalen Reagor,MIN,14.4,18.2,15.7,-7.69375,-7.6125,-7.45625,0.0,WR
Cody Thompson,SEA,14.4,14.3,14.3,-7.69375,-7.7,-7.7,0.0,WR
Bryan Edwards,NO,14.3,27.9,10.7,-7.7,-7.925,-6.85,0.0,WR
Tre'Quan Smith,NO,14.2,26.1,8.5,-7.70625,-8.0625,-6.9625,0.0,WR
Jalen Tolbert,DAL,13.7,32.5,7.7,-7.7375,-8.1125,-6.5625,0.0,WR
Kaylon Geiger Sr.,TB,13.4,18.9,18.9,-7.75625,-7.4125,-7.4125,0.0,WR
Deonte Harty,BUF,12.6,40.4,5.4,-7.80625,-8.25625,-6.06875,0.0,WR
Dontayvion Wicks,GB,12.4,18.8,16.8,-7.81875,-7.54375,-7.41875,0.0,WR
Jakeem Grant Sr.,CLE,12.2,24.1,6.8,-7.83125,-8.16875,-7.0875,0.0,WR
Montrell Washington,DEN,12.2,13.9,12.8,-7.83125,-7.79375,-7.725,0.0,WR
Simi Fehoko,DAL,11.9,22.7,8.8,-7.85,-8.04375,-7.175,0.0,WR
Mike Strachan,IND,11.7,11.4,11.4,-7.8625,-7.88125,-7.88125,0.0,WR
Dante Pettis,CHI,11.5,30.7,7.2,-7.875,-8.14375,-6.675,0.0,WR
Byron Pringle,WAS,11.0,14.0,10.6,-7.90625,-7.93125,-7.71875,0.0,WR
Lance McCutcheon,LAR,9.9,12.5,8.2,-7.975,-8.08125,-7.8125,0.0,WR
Darrius Shepherd,LAC,9.9,14.6,14.6,-7.975,-7.68125,-7.68125,0.0,WR
Kevin Austin Jr.,JAC,9.8,14.2,14.2,-7.98125,-7.70625,-7.70625,0.0,WR
Ray-Ray McCloud III,SF,9.8,16.5,8.4,-7.98125,-8.06875,-7.5625,0.0,WR
