Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Brett Rypien,LAR,18.4,30.0,1.8,-12.99375,-14.03125,-12.26875,0.0,QB
Joshua Dobbs,CLE,17.9,22.9,7.0,-13.025,-13.70625,-12.7125,0.0,QB
C.J. Beathard,JAC,17.8,25.0,6.0,-13.03125,-13.76875,-12.58125,0.0,QB
Easton Stick,LAC,17.7,18.6,9.0,-13.037500000000001,-13.58125,-12.981250000000001,0.0,QB
Drew Lock,SEA,17.5,21.4,7.0,-13.05,-13.70625,-12.80625,0.0,QB
Stetson Bennett,LAR,17.0,30.7,2.1,-13.08125,-14.012500000000001,-12.225000000000001,0.0,QB
P.J. Walker,CHI,16.6,27.2,6.0,-13.106250000000001,-13.76875,-12.443750000000001,0.0,QB
Cooper Rush,DAL,16.1,19.7,6.0,-13.137500000000001,-13.76875,-12.912500000000001,0.0,QB
David Blough,ARI,15.6,18.0,5.4,-13.168750000000001,-13.80625,-13.01875,0.0,QB
Kyle Allen,BUF,15.0,13.6,6.0,-13.20625,-13.76875,-13.293750000000001,0.0,QB
Aidan O'Connell,LV,13.8,19.8,7.6,-13.28125,-13.668750000000001,-12.90625,0.0,QB
Malik Willis,TEN,13.0,21.6,1.0,-13.33125,-14.08125,-12.793750000000001,0.0,QB
Matt Barkley,BUF,12.3,15.2,7.9,-13.375,-13.65,-13.193750000000001,0.0,QB
Dorian Thompson-Robinson,CLE,10.4,9.0,8.0,-13.49375,-13.64375,-13.58125,0.0,QB
Max Duggan,LAC,10.1,8.0,8.0,-13.512500000000001,-13.64375,-13.64375,0.0,QB
Jaren Hall,MIN,10.0,8.0,8.0,-13.51875,-13.64375,-13.64375,0.0,QB
Tanner McKee,PHI,9.4,8.0,8.0,-13.55625,-13.64375,-13.64375,0.0,QB
Skylar Thompson,MIA,9.1,10.8,1.8,-13.575000000000001,-14.03125,-13.46875,0.0,QB
Jake Haener,NO,9.1,8.0,8.0,-13.575000000000001,-13.64375,-13.64375,0.0,QB
Matt Corral,CAR,7.7,10.8,1.9,-13.662500000000001,-14.025,-13.46875,0.0,QB
Mason Rudolph,PIT,7.3,8.5,0.8,-13.6875,-14.09375,-13.6125,0.0,QB
Case Keenum,HOU,7.3,10.2,1.8,-13.6875,-14.03125,-13.506250000000001,0.0,QB
Shane Buechele,KC,1.7,1.6,1.6,-14.037500000000001,-14.043750000000001,-14.043750000000001,0.0,QB
Nate Sudfeld,DET,1.5,1.5,1.5,-14.05,-14.05,-14.05,0.0,QB
Tommy DeVito,NYG,1.3,1.3,1.3,-14.0625,-14.0625,-14.0625,0.0,QB
Will Grier,DAL,0.4,0.4,0.4,-14.11875,-14.11875,-14.11875,0.0,QB
Josh Johnson,BAL,0.0,0.6,0.6,-14.14375,-14.106250000000001,-14.106250000000001,0.0,QB
Christian McCaffrey,SF,266.5,360.1,237.9,7.987500000000001,6.200000000000001,13.837500000000002,93.0,RB
Austin Ekeler,LAC,260.0,352.9,244.7,7.581250000000001,6.625,13.3875,86.0,RB
Bijan Robinson,ATL,235.3,264.9,216.0,6.037500000000001,4.831250000000001,7.887499999999999,80.0,RB
Derrick Henry,TEN,234.7,292.5,199.1,6.0,3.7750000000000004,9.6125,75.0,RB
Saquon Barkley,NYG,234.2,287.8,202.8,5.96875,4.006250000000001,9.318750000000001,69.0,RB
Nick Chubb,CLE,233.5,277.3,194.3,5.925000000000001,3.4750000000000014,8.662500000000001,64.0,RB
Tony Pollard,DAL,231.3,287.0,189.6,5.787500000000001,3.1812500000000004,9.26875,59.0,RB
Josh Jacobs,LV,230.5,304.2,192.8,5.737500000000001,3.3812500000000014,10.34375,54.0,RB
Joe Mixon,CIN,218.4,317.4,179.6,4.981250000000001,2.5562500000000004,11.16875,49.0,RB
Jonathan Taylor,IND,215.4,251.9,181.4,4.793750000000001,2.668750000000001,7.075000000000001,45.0,RB
Aaron Jones,GB,206.2,285.9,173.7,4.21875,2.1875,9.2,41.0,RB
Najee Harris,PIT,199.3,240.2,160.1,3.7875000000000014,1.3375000000000004,6.34375,37.0,RB
Travis Etienne Jr.,JAC,193.3,234.0,154.3,3.4125000000000014,0.9750000000000014,5.956250000000001,34.0,RB
Rhamondre Stevenson,NE,193.1,227.5,164.8,3.4000000000000004,1.6312500000000014,5.550000000000001,31.0,RB
Alexander Mattison,MIN,191.7,246.0,159.2,3.3125,1.28125,6.706250000000001,28.0,RB
James Conner,ARI,189.8,252.2,164.5,3.1937500000000014,1.6125000000000007,7.09375,25.0,RB
Jahmyr Gibbs,DET,185.2,227.3,152.1,2.90625,0.8375000000000004,5.537500000000001,23.0,RB
Kenneth Walker III,SEA,184.7,217.5,148.6,2.875,0.6187500000000004,4.925000000000001,20.0,RB
