Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Teddy Bridgewater,DET,19.6,26.0,9.0,-2.9250000000000003,-3.5875000000000004,-2.5250000000000004,0.0,QB
Zach Wilson,NYJ,19.5,20.4,16.5,-2.9312500000000004,-3.1187500000000004,-2.8750000000000004,0.0,QB
Jameis Winston,NO,19.2,28.9,9.0,-2.95,-3.5875000000000004,-2.3437500000000004,0.0,QB
Easton Stick,LAC,19.2,18.6,18.6,-2.95,-2.9875000000000003,-2.9875000000000003,0.0,QB
Sean Clifford,GB,19.1,27.2,5.4,-2.9562500000000003,-3.8125000000000004,-2.45,0.0,QB
Joshua Dobbs,CLE,19.0,28.6,7.0,-2.9625000000000004,-3.7125000000000004,-2.3625000000000003,0.0,QB
Hendon Hooker,DET,19.0,16.2,16.2,-2.9625000000000004,-3.1375,-3.1375,0.0,QB
P.J. Walker,CHI,19.0,13.6,8.4,-2.9625000000000004,-3.6250000000000004,-3.3000000000000003,0.0,QB
Nick Mullens,MIN,18.7,26.8,4.0,-2.98125,-3.9000000000000004,-2.4750000000000005,0.0,QB
Stetson Bennett,LAR,18.2,28.7,3.8,-3.0125,-3.9125000000000005,-2.35625,0.0,QB
Trevor Siemian,CIN,18.1,23.0,8.7,-3.0187500000000003,-3.60625,-2.7125000000000004,0.0,QB
Drew Lock,SEA,17.9,21.4,7.0,-3.0312500000000004,-3.7125000000000004,-2.8125000000000004,0.0,QB
C.J. Beathard,JAC,17.2,25.0,6.0,-3.075,-3.7750000000000004,-2.5875000000000004,0.0,QB
Blaine Gabbert,KC,16.3,27.3,1.8,-3.1312500000000005,-4.0375000000000005,-2.4437500000000005,0.0,QB
Cooper Rush,DAL,16.1,19.7,6.0,-3.1437500000000003,-3.7750000000000004,-2.91875,0.0,QB
David Blough,ARI,15.6,18.0,5.4,-3.1750000000000003,-3.8125000000000004,-3.0250000000000004,0.0,QB
Matt Corral,CAR,13.5,10.8,10.8,-3.3062500000000004,-3.4750000000000005,-3.4750000000000005,0.0,QB
Kyle Allen,BUF,13.2,10.2,6.0,-3.325,-3.7750000000000004,-3.5125,0.0,QB
Malik Willis,TEN,13.0,21.6,1.0,-3.3375000000000004,-4.0875,-2.8000000000000003,0.0,QB
Aidan O'Connell,LV,12.5,16.2,7.6,-3.3687500000000004,-3.6750000000000003,-3.1375,0.0,QB
Dorian Thompson-Robinson,CLE,11.3,10.8,8.0,-3.4437500000000005,-3.6500000000000004,-3.4750000000000005,0.0,QB
Jaren Hall,MIN,10.9,9.0,8.0,-3.4687500000000004,-3.6500000000000004,-3.5875000000000004,0.0,QB
Skylar Thompson,MIA,10.3,12.6,1.8,-3.5062500000000005,-4.0375000000000005,-3.3625000000000003,0.0,QB
Max Duggan,LAC,10.1,8.0,8.0,-3.5187500000000003,-3.6500000000000004,-3.6500000000000004,0.0,QB
Nate Sudfeld,DET,10.0,9.7,9.7,-3.5250000000000004,-3.54375,-3.54375,0.0,QB
Tanner McKee,PHI,9.4,8.0,8.0,-3.5625000000000004,-3.6500000000000004,-3.6500000000000004,0.0,QB
Case Keenum,HOU,9.1,13.6,1.8,-3.5812500000000003,-4.0375000000000005,-3.3000000000000003,0.0,QB
Jake Haener,NO,9.1,8.0,8.0,-3.5812500000000003,-3.6500000000000004,-3.6500000000000004,0.0,QB
Matt Barkley,BUF,8.4,7.9,7.9,-3.6250000000000004,-3.6562500000000004,-3.6562500000000004,0.0,QB
Tommy DeVito,NYG,1.3,1.3,1.3,-4.0687500000000005,-4.0687500000000005,-4.0687500000000005,0.0,QB
Shane Buechele,KC,1.0,1.0,1.0,-4.0875,-4.0875,-4.0875,0.0,QB
Mason Rudolph,PIT,0.8,0.8,0.8,-4.1000000000000005,-4.1000000000000005,-4.1000000000000005,0.0,QB
Will Grier,DAL,0.4,0.4,0.4,-4.125,-4.125,-4.125,0.0,QB
Josh Johnson,BAL,0.0,0.6,0.6,-4.15,-4.112500000000001,-4.112500000000001,0.0,QB
Christian McCaffrey,SF,268.5,360.7,234.5,10.84375,8.71875,16.60625,95.0,RB
Austin Ekeler,LAC,261.0,353.6,246.8,10.375,9.4875,16.1625,90.0,RB
Josh Jacobs,LV,234.6,305.8,190.3,8.725,5.956250000000001,13.175,86.0,RB
Bijan Robinson,ATL,233.3,267.3,210.8,8.64375,7.237500000000001,10.76875,82.0,RB
Nick Chubb,CLE,232.4,278.5,180.8,8.5875,5.362500000000001,11.46875,78.0,RB
Derrick Henry,TEN,232.1,293.3,183.9,8.56875,5.55625,12.39375,74.0,RB
Saquon Barkley,NYG,231.5,287.2,198.2,8.53125,6.449999999999999,12.0125,70.0,RB
Tony Pollard,DAL,227.7,267.2,185.5,8.29375,5.65625,10.7625,66.0,RB
Joe Mixon,CIN,217.9,317.3,175.5,7.68125,5.03125,13.89375,63.0,RB
Rhamondre Stevenson,NE,215.2,311.9,170.9,7.512499999999999,4.74375,13.556249999999999,59.0,RB
Jonathan Taylor,IND,214.7,252.5,186.0,7.481249999999999,5.6875,9.84375,56.0,RB
Aaron Jones,GB,210.5,286.8,171.7,7.21875,4.793749999999999,11.9875,53.0,RB
Breece Hall,NYJ,202.8,257.8,166.7,6.737500000000001,4.481249999999999,10.175,49.0,RB
Najee Harris,PIT,202.7,241.2,159.1,6.731249999999999,4.00625,9.1375,46.0,RB
Travis Etienne Jr.,JAC,197.3,241.2,155.2,6.393750000000001,3.7624999999999993,9.1375,43.0,RB
Alexander Mattison,MIN,188.1,245.5,156.7,5.81875,3.8562499999999993,9.40625,41.0,RB
James Conner,ARI,188.1,252.4,160.7,5.81875,4.106249999999999,9.8375,38.0,RB
Kenneth Walker III,SEA,187.6,218.8,149.8,5.7875,3.4250000000000007,7.737500000000001,35.0,RB
Jahmyr Gibbs,DET,183.1,220.1,152.1,5.50625,3.5687499999999996,7.81875,33.0,RB
Dameon Pierce,HOU,182.1,220.7,166.3,5.44375,4.456250000000001,7.856249999999999,30.0,RB
Rachaad White,TB,175.0,242.2,122.6,5.0,1.7249999999999996,9.2,28.0,RB
Miles Sanders,CAR,174.0,210.6,135.9,4.9375,2.5562500000000004,7.225,26.0,RB
Isiah Pacheco,KC,168.8,221.8,129.5,4.612500000000001,2.15625,7.925000000000001,23.0,RB
Cam Akers,LAR,168.4,199.2,123.3,4.5875,1.7687499999999998,6.512499999999999,21.0,RB
J.K. Dobbins,BAL,166.3,186.6,143.5,4.456250000000001,3.03125,5.725,19.0,RB
David Montgomery,DET,164.9,198.0,138.6,4.36875,2.7249999999999996,6.4375,17.0,RB
Javonte Williams,DEN,158.4,237.4,133.4,3.9625000000000004,2.4000000000000004,8.9,15.0,RB
James Cook,BUF,157.5,216.6,126.5,3.90625,1.96875,7.6,14.0,RB
Alvin Kamara,NO,155.3,217.2,123.5,3.7687500000000007,1.78125,7.637499999999999,12.0,RB
D'Andre Swift,PHI,154.1,212.7,133.0,3.6937499999999996,2.375,7.356249999999999,10.0,RB
AJ Dillon,GB,145.0,180.8,117.9,3.125,1.4312500000000004,5.362500000000001,9.0,RB
Brian Robinson Jr.,WAS,137.9,186.7,121.2,2.6812500000000004,1.6375000000000002,5.731249999999999,8.0,RB
Antonio Gibson,WAS,134.1,181.9,113.6,2.4437499999999996,1.1624999999999996,5.43125,6.0,RB
Samaje Perine,DEN,131.7,164.4,109.5,2.2937499999999993,0.90625,4.3375,5.0,RB
Khalil Herbert,CHI,127.0,166.5,108.3,2.0,0.8312499999999998,4.46875,4.0,RB
Jeff Wilson Jr.,MIA,124.0,195.8,84.7,1.8125,-0.6437499999999998,6.300000000000001,4.0,RB
Rashaad Penny,PHI,120.1,135.4,109.5,1.5687499999999996,0.90625,2.5250000000000004,3.0,RB
Jamaal Williams,NO,115.8,141.3,100.8,1.2999999999999998,0.3624999999999998,2.8937500000000007,2.0,RB
Raheem Mostert,MIA,112.0,134.0,90.8,1.0625,-0.2625000000000002,2.4375,2.0,RB
Elijah Mitchell,SF,110.3,131.3,98.5,0.9562499999999998,0.21875,2.2687500000000007,1.0,RB
Tyler Allgeier,ATL,104.6,137.7,89.8,0.5999999999999996,-0.3250000000000002,2.6687499999999993,1.0,RB
Jerick McKinnon,KC,103.3,131.9,71.7,0.5187499999999998,-1.4562499999999998,2.3062500000000004,1.0,RB
Damien Harris,BUF,102.8,127.5,86.9,0.4874999999999998,-0.5062499999999996,2.03125,1.0,RB
Devin Singletary,HOU,102.6,137.5,82.5,0.47499999999999964,-0.78125,2.65625,0.0,RB
Zach Charbonnet,SEA,99.9,136.0,56.9,0.30625000000000036,-2.38125,2.5625,0.0,RB
Chuba Hubbard,CAR,98.6,161.3,75.2,0.22499999999999964,-1.2374999999999998,4.143750000000001,0.0,RB
D'Onta Foreman,CHI,96.5,135.5,79.5,0.09375,-0.96875,2.53125,0.0,RB
Jaylen Warren,PIT,96.1,119.5,72.6,0.06874999999999964,-1.4000000000000004,1.53125,-0.0,RB
De'Von Achane,MIA,95.0,131.4,88.4,0.0,-0.41249999999999964,2.2750000000000004,-0.0,RB
Kenneth Gainwell,PHI,80.9,106.4,74.8,-0.8812499999999996,-1.2625000000000002,0.7125000000000004,0.0,RB
Gus Edwards,BAL,79.6,91.8,42.2,-0.9625000000000004,-3.3,-0.20000000000000018,0.0,RB
Tank Bigsby,JAC,78.2,104.8,65.7,-1.0499999999999998,-1.8312499999999998,0.6124999999999998,0.0,RB
Chase Edmonds,TB,76.9,123.0,58.6,-1.1312499999999996,-2.275,1.75,0.0,RB
Roschon Johnson,CHI,75.4,96.2,67.6,-1.2249999999999996,-1.7125000000000004,0.07500000000000018,0.0,RB
