"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","211.9","992.7","7.4","73.8","624.0","4.0","0.5","266.5"
"","high","230.9","1,098.8","9.8","87.0","675.3","5.4","0.0","360.1"
"","low","191.7","872.6","6.0","66.0","547.5","2.5","1.0","237.9"
"Austin Ekeler","LAC","189.3","859.8","9.3","76.2","599.3","3.9","1.5","260.0"
"","high","214.3","1,026.2","11.0","85.0","674.0","5.0","0.6","352.9"
"","low","174.0","716.5","5.8","67.3","499.7","2.9","2.0","244.7"
"Bijan Robinson","ATL","248.6","1,182.1","9.1","40.1","340.6","2.1","1.9","235.3"
"","high","298.2","1,399.6","10.6","49.6","395.4","2.8","1.2","264.9"
"","low","215.8","1,065.8","7.8","29.0","230.2","1.4","4.0","216.0"
"Derrick Henry","TEN","311.8","1,365.1","9.2","30.3","263.1","0.8","1.8","234.7"
"","high","333.2","1,537.8","10.8","36.4","345.4","1.4","1.6","292.5"
"","low","276.0","1,198.0","8.2","23.6","176.5","0.0","2.0","199.1"
"Saquon Barkley","NYG","253.9","1,132.9","7.8","53.5","384.7","1.7","0.7","234.2"
"","high","302.5","1,385.9","10.8","54.5","429.7","2.2","0.3","287.8"
"","low","233.1","1,001.6","6.6","53.0","341.0","1.0","1.0","202.8"
"Nick Chubb","CLE","281.3","1,371.2","9.0","28.5","239.5","1.1","1.1","233.5"
"","high","350.6","1,736.1","11.3","31.4","274.3","1.6","0.9","277.3"
"","low","250.0","1,233.0","8.0","24.0","208.0","0.8","1.5","194.3"
"Tony Pollard","DAL","223.5","1,115.7","7.9","45.2","377.0","2.2","0.5","231.3"
"","high","291.3","1,389.3","11.1","53.2","473.5","2.9","0.0","287.0"
"","low","163.8","945.4","6.0","38.7","316.5","1.7","1.0","189.6"
"Josh Jacobs","LV","263.8","1,233.9","9.7","37.5","275.9","0.8","1.2","230.5"
"","high","282.7","1,443.2","10.6","42.4","319.1","1.7","1.0","304.2"
"","low","254.0","1,098.5","9.0","33.0","228.6","0.0","1.4","192.8"
"Joe Mixon","CIN","233.9","978.2","7.6","51.2","375.9","2.2","0.6","218.4"
"","high","261.2","1,149.2","9.7","62.2","524.0","2.9","0.5","317.4"
"","low","202.2","800.0","5.8","41.1","284.5","1.8","1.0","179.6"
"Jonathan Taylor","IND","283.0","1,287.0","8.2","30.9","218.2","0.8","2.1","215.4"
"","high","335.4","1,607.7","9.6","39.1","252.5","1.2","1.4","251.9"
"","low","256.4","1,189.0","7.3","22.2","164.7","0.0","3.0","181.4"
"Aaron Jones","GB","194.7","968.2","5.7","49.5","376.4","2.6","1.3","206.2"
"","high","224.7","1,134.2","9.1","55.3","487.9","3.0","0.6","285.9"
"","low","179.0","847.1","3.9","43.5","303.5","2.4","2.0","173.7"
"Najee Harris","PIT","260.4","1,023.7","6.8","38.2","261.7","2.3","1.2","199.3"
"","high","299.5","1,269.2","9.0","42.7","288.0","3.0","0.5","240.2"
"","low","238.0","858.0","5.4","32.6","215.0","1.7","2.0","160.1"
"Travis Etienne Jr.","JAC","219.1","1,082.6","6.4","34.5","282.8","0.9","2.3","193.3"
"","high","255.7","1,163.8","8.7","40.2","322.5","1.8","1.6","234.0"
"","low","200.0","977.7","4.4","31.0","241.8","0.0","2.9","154.3"
"Rhamondre Stevenson","NE","211.0","933.9","5.7","49.5","357.0","1.2","1.0","193.1"
"","high","251.3","1,125.0","8.1","54.0","432.4","2.2","0.5","227.5"
"","low","194.0","709.5","4.9","46.1","322.0","0.6","1.3","164.8"
"Alexander Mattison","MIN","210.4","933.6","8.1","34.5","237.9","1.7","1.0","191.7"
"","high","250.6","1,113.1","9.1","39.5","260.5","2.2","0.7","246.0"
"","low","180.7","736.0","6.7","29.0","194.0","1.2","1.2","159.2"
"James Conner","ARI","215.2","924.6","6.8","41.0","298.8","1.3","0.8","189.8"
"","high","262.1","1,126.2","7.5","43.0","330.5","1.7","0.5","252.2"
"","low","179.6","685.8","6.0","36.0","276.6","1.0","1.2","164.5"
"Jahmyr Gibbs","DET","179.0","783.2","6.8","44.1","351.9","2.0","1.5","185.2"
"","high","200.3","925.3","7.8","48.1","415.0","2.7","0.8","227.3"
"","low","147.0","644.0","6.0","37.0","249.9","1.1","3.0","152.1"
"Kenneth Walker III","SEA","225.9","1,031.4","8.3","25.1","169.1","0.6","0.4","184.7"
"","high","273.3","1,240.8","9.1","29.9","213.6","1.0","0.0","217.5"
"","low","203.0","866.0","7.4","20.2","141.0","0.0","1.0","148.6"
"Dameon Pierce","HOU","259.9","1,076.8","5.9","32.8","218.1","1.1","2.1","184.2"
"","high","272.2","1,170.8","7.2","37.1","267.7","1.4","1.6","220.8"
"","low","227.0","966.4","4.3","31.0","170.0","1.0","2.4","168.4"
"Rachaad White","TB","199.8","826.4","4.4","49.4","351.7","2.1","2.7","176.5"
"","high","244.6","1,050.6","6.7","55.0","438.7","3.5","1.4","243.4"
"","low","167.8","621.0","1.8","44.4","289.4","1.3","4.0","123.7"
"Miles Sanders","CAR","221.0","1,031.3","6.3","26.7","192.8","0.7","1.4","174.7"
"","high","255.2","1,181.9","8.2","36.0","297.6","1.4","1.0","205.0"
"","low","185.1","920.6","5.0","13.2","102.6","0.0","2.0","141.4"
"Breece Hall","NYJ","180.2","828.6","5.6","34.0","321.7","1.8","1.1","173.8"
"","high","233.4","1,084.2","6.7","42.6","376.4","2.1","0.3","211.4"
"","low","140.0","613.6","5.0","28.9","239.4","1.4","2.0","147.0"
"Cam Akers","LAR","236.0","994.5","6.3","24.8","209.4","0.8","2.2","171.3"
"","high","280.0","1,241.4","6.9","33.3","280.1","1.6","1.1","198.0"
"","low","207.1","790.0","5.4","19.0","176.3","0.0","3.0","124.4"
"Isiah Pacheco","KC","195.4","938.9","7.0","24.4","200.7","0.6","1.9","168.3"
"","high","236.4","1,065.2","9.0","29.6","241.7","1.4","1.4","216.8"
"","low","169.0","831.1","5.0","17.5","129.7","0.0","2.3","129.2"
"J.K. Dobbins","BAL","173.3","886.2","6.6","24.2","175.3","1.9","0.4","168.2"
"","high","234.7","1,058.2","7.1","27.7","195.0","3.0","0.0","187.3"
"","low","122.9","794.0","6.0","18.6","145.3","1.2","1.0","146.1"
"David Montgomery","DET","198.8","787.4","6.3","34.5","290.2","1.2","1.0","167.7"
"","high","217.2","884.1","7.9","40.0","360.0","1.6","0.8","198.7"
"","low","171.0","642.0","4.2","28.6","246.6","0.7","1.4","141.2"
"Javonte Williams","DEN","179.0","836.5","4.8","39.1","267.3","1.6","1.5","165.0"
"","high","221.9","986.4","6.4","45.0","340.1","2.3","1.1","238.6"
"","low","158.0","709.8","2.7","26.0","179.1","1.0","2.0","124.6"
"James Cook","BUF","164.4","837.2","5.0","33.9","266.9","1.7","1.5","164.6"
"","high","176.5","882.0","5.5","43.7","341.6","2.0","0.9","208.6"
"","low","132.7","785.6","4.0","21.0","179.0","1.0","2.0","133.0"
"Alvin Kamara","NO","170.2","705.5","3.4","41.4","363.5","1.7","1.1","156.3"
"","high","180.1","773.9","4.1","49.4","448.9","2.3","0.6","209.9"
"","low","156.5","665.9","2.0","32.2","248.4","1.0","2.0","132.7"
"Dalvin Cook","NYJ","186.8","774.8","4.5","28.1","209.8","1.0","1.6","142.8"
"","high","221.0","923.9","5.7","34.7","230.5","1.7","1.0","171.8"
"","low","153.0","707.0","3.7","22.0","171.0","0.3","2.0","113.0"
"D'Andre Swift","PHI","114.8","530.7","4.6","39.9","333.9","1.8","0.8","142.7"
"","high","126.1","613.0","5.0","51.1","474.5","2.2","0.7","207.7"
"","low","106.2","473.8","4.2","34.0","256.3","1.4","1.0","124.8"
"AJ Dillon","GB","161.8","717.6","5.6","24.1","194.6","0.7","0.7","139.2"
"","high","179.1","772.2","6.2","32.0","248.0","1.0","0.4","179.9"
"","low","146.6","662.7","3.9","14.6","114.8","0.0","1.0","120.0"
"Khalil Herbert","CHI","162.1","829.1","4.8","19.5","130.4","0.9","0.4","139.1"
"","high","170.5","912.4","5.5","30.3","215.1","1.1","0.0","167.0"
"","low","154.0","744.0","3.8","14.0","93.3","0.8","1.0","124.8"
"Brian Robinson Jr.","WAS","216.0","908.3","4.4","15.0","99.1","0.8","0.5","138.7"
"","high","243.0","1,065.5","6.4","25.4","183.1","1.5","0.0","186.1"
"","low","192.7","787.0","1.6","7.4","43.2","0.3","1.0","123.4"
"Antonio Gibson","WAS","143.1","569.3","3.8","40.2","294.1","1.3","1.1","134.7"
"","high","162.9","643.4","5.0","46.8","396.6","1.7","0.7","184.5"
"","low","107.6","427.7","2.8","33.0","239.8","0.8","1.7","114.1"
"Samaje Perine","DEN","142.7","601.7","3.7","27.1","225.3","1.4","0.4","125.7"
"","high","166.6","706.7","4.9","29.9","286.6","2.0","0.0","141.7"
"","low","119.2","469.1","2.6","20.8","146.2","0.7","1.0","109.5"
"Jeff Wilson Jr.","MIA","129.6","615.5","4.5","20.3","160.9","1.1","1.3","118.5"
"","high","142.6","831.9","6.5","31.0","258.9","1.6","1.0","194.7"
"","low","104.8","469.1","3.1","6.1","45.1","0.3","1.7","83.5"
"Jamaal Williams","NO","161.9","662.1","5.4","13.4","104.9","0.6","0.7","118.1"
"","high","185.0","716.1","6.4","21.8","165.5","1.4","0.5","136.7"
"","low","151.3","600.5","3.5","9.4","63.4","0.0","1.0","105.7"
"Rashaad Penny","PHI","155.2","748.2","4.9","7.2","50.7","0.3","0.7","113.4"
"","high","161.0","838.0","7.0","8.0","69.7","0.5","0.5","123.5"
"","low","140.7","650.7","2.9","5.8","39.9","0.0","1.0","101.5"
"Zach Charbonnet","SEA","131.5","555.7","3.6","23.4","192.7","0.9","1.0","111.8"
"","high","154.9","656.1","5.0","28.6","243.4","1.1","0.6","144.9"
"","low","97.0","437.1","2.0","15.6","117.5","0.7","2.0","91.7"
"Elijah Mitchell","SF","147.0","646.4","4.1","12.8","94.9","0.9","0.3","110.3"
"","high","153.2","697.5","5.2","18.3","149.9","2.0","0.0","131.2"
"","low","136.0","604.5","2.1","7.6","49.6","0.4","1.0","100.4"
"Tyler Allgeier","ATL","153.1","707.4","3.4","12.3","94.2","0.4","0.3","108.8"
"","high","166.4","773.5","5.2","15.2","123.7","0.7","0.0","138.0"
"","low","135.6","626.1","0.8","7.0","59.0","0.0","1.0","91.1"
"Raheem Mostert","MIA","127.8","571.4","3.1","21.4","154.9","0.9","0.8","105.9"
