"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Justin Jefferson","MIN","111.4","1,514.1","8.2","3.7","18.7","0.4","0.3","259.5"
"","high","124.5","1,683.3","10.2","4.2","23.5","1.0","0.0","338.9"
"","low","101.2","1,336.0","6.9","3.0","13.2","0.1","0.8","243.7"
"Ja'Marr Chase","CIN","106.6","1,390.3","10.0","5.6","25.3","0.1","1.1","253.3"
"","high","117.0","1,495.9","11.2","8.5","37.9","0.3","0.0","366.0"
"","low","95.0","1,236.0","8.6","3.9","16.0","0.0","2.0","218.3"
"Cooper Kupp","LAR","107.5","1,333.2","8.3","8.9","80.8","1.0","0.8","249.4"
"","high","121.8","1,446.8","10.3","11.2","198.9","2.7","0.1","366.7"
"","low","94.0","1,134.0","6.5","5.3","28.1","0.3","1.4","217.7"
"Tyreek Hill","MIA","104.9","1,372.6","8.0","9.3","56.6","0.7","0.4","246.5"
"","high","114.3","1,460.5","10.5","10.7","68.3","1.0","0.0","365.5"
"","low","93.0","1,272.0","6.0","8.0","42.0","0.5","0.9","213.5"
"CeeDee Lamb","DAL","99.8","1,302.2","7.6","8.7","55.2","0.3","0.3","232.5"
"","high","108.2","1,548.4","9.8","11.0","74.0","0.6","0.0","373.9"
"","low","87.0","1,132.0","6.0","4.8","29.0","0.0","0.7","197.9"
"Stefon Diggs","BUF","97.2","1,285.0","8.2","0.8","3.9","0.0","0.4","226.2"
"","high","111.2","1,457.0","10.5","2.0","15.1","0.0","0.0","309.8"
"","low","89.0","1,186.0","7.2","0.0","-1.0","0.0","0.8","205.6"
"Davante Adams","LV","92.8","1,245.2","8.1","2.3","9.1","0.1","0.3","220.5"
"","high","108.0","1,478.6","10.3","4.6","25.6","0.3","0.0","288.7"
"","low","80.1","1,092.7","6.2","0.5","0.0","0.0","0.8","209.4"
"Amon-Ra St. Brown","DET","101.3","1,153.1","5.9","7.6","60.2","0.4","0.2","209.3"
"","high","109.1","1,269.9","7.4","9.0","84.9","0.6","0.0","326.7"
"","low","95.2","1,046.5","4.2","4.6","26.6","0.0","0.6","187.7"
"A.J. Brown","PHI","76.8","1,183.0","8.2","0.4","4.6","0.0","0.6","205.3"
"","high","92.2","1,379.8","10.0","1.4","19.0","0.2","0.0","256.6"
"","low","69.3","1,085.6","6.7","0.0","0.0","0.0","1.0","192.2"
"Jaylen Waddle","MIA","78.7","1,150.2","6.3","5.1","40.8","0.3","0.7","196.7"
"","high","86.9","1,277.8","7.8","10.7","78.0","0.6","0.0","285.9"
"","low","67.0","1,081.0","5.0","2.7","16.9","0.0","1.0","174.4"
"Garrett Wilson","NYJ","83.4","1,134.2","6.3","2.9","7.6","0.0","0.8","192.2"
"","high","93.3","1,268.9","9.2","4.5","24.4","0.2","0.0","251.6"
"","low","76.4","998.4","2.1","0.0","0.0","0.0","1.2","178.7"
"Chris Olave","NO","82.7","1,163.0","5.8","0.0","0.2","0.0","1.3","189.8"
"","high","89.6","1,271.0","7.0","0.0","0.9","0.0","0.0","288.2"
"","low","76.0","1,115.0","4.0","0.0","0.0","0.0","2.2","164.3"
"Tee Higgins","CIN","80.8","1,082.6","6.8","0.7","2.9","0.0","0.3","189.2"
"","high","93.9","1,165.2","8.1","1.6","8.8","0.0","0.0","269.8"
"","low","71.0","1,012.0","6.0","0.0","0.0","0.0","0.6","168.4"
"Deebo Samuel","SF","68.8","900.8","4.1","41.4","253.8","2.5","1.4","186.5"
"","high","77.9","981.1","5.8","49.0","335.6","3.5","1.0","264.7"
"","low","60.8","846.0","1.3","37.7","209.7","1.5","2.0","165.4"
"DK Metcalf","SEA","81.2","1,008.3","7.2","0.2","1.3","0.0","0.8","183.4"
"","high","95.4","1,123.2","8.2","0.7","3.7","0.0","0.0","258.7"
"","low","71.0","904.0","6.0","0.0","0.0","0.0","1.3","157.6"
"Calvin Ridley","JAC","81.6","1,032.2","6.5","2.8","9.3","0.0","0.5","183.0"
"","high","90.0","1,122.8","7.4","4.3","25.4","0.2","0.0","282.2"
"","low","73.7","917.8","5.5","0.0","0.0","0.0","1.0","167.8"
"DeVonta Smith","PHI","81.6","1,042.3","6.4","0.0","0.2","0.0","0.6","182.4"
"","high","91.0","1,120.8","7.0","0.0","0.8","0.0","0.0","262.3"
"","low","76.0","963.0","5.7","0.0","0.0","0.0","1.0","167.8"
"Christian Watson","GB","69.4","957.4","6.1","8.3","69.4","1.2","0.2","180.2"
