"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","610.3","406.8","4,848.2","37.4","11.0","63.9","353.1","3.3","1.9","383.4"
"","high","644.5","428.0","5,173.6","39.5","9.1","68.7","434.3","3.9","1.0","434.0"
"","low","555.7","374.0","4,467.7","33.1","12.9","59.2","305.8","2.9","3.8","366.5"
"Josh Allen","BUF","572.8","361.4","4,276.1","31.9","14.2","116.8","656.8","6.5","4.2","380.8"
"","high","615.7","390.9","4,596.0","34.2","10.8","127.9","703.0","7.5","2.2","394.4"
"","low","527.3","338.2","4,076.9","30.3","19.0","105.4","592.4","5.4","5.5","357.6"
"Jalen Hurts","PHI","494.3","318.7","3,806.9","23.7","10.5","159.6","816.9","11.2","2.9","379.3"
"","high","530.5","349.8","4,024.4","28.0","8.4","173.0","930.4","15.4","1.0","424.0"
"","low","455.4","290.2","3,511.2","18.8","14.3","141.8","670.4","7.7","4.6","337.8"
"Lamar Jackson","BAL","474.2","300.3","3,448.9","25.5","11.9","152.5","970.7","5.5","3.0","352.4"
"","high","536.0","330.0","3,705.0","28.0","10.1","168.0","1,082.1","7.3","1.5","367.0"
"","low","402.6","263.0","3,090.5","20.1","16.0","138.0","887.0","3.0","4.3","327.6"
"Joe Burrow","CIN","591.6","402.2","4,599.3","32.5","12.9","65.8","285.2","3.9","2.3","347.9"
"","high","634.3","425.1","4,780.5","33.7","11.6","70.3","423.6","4.6","0.6","366.4"
"","low","567.5","391.2","4,316.0","29.0","14.2","61.1","226.0","2.5","3.7","331.2"
"Justin Fields","CHI","402.9","250.7","2,917.1","21.1","13.3","154.3","1,039.6","7.0","3.3","327.3"
"","high","441.0","275.4","3,194.0","25.0","10.4","184.7","1,235.2","8.5","0.7","341.0"
"","low","351.8","213.3","2,626.8","17.3","18.0","136.0","912.1","6.0","5.9","308.8"
"Justin Herbert","LAC","628.5","422.8","4,604.4","30.2","12.9","57.9","217.3","2.0","2.0","321.6"
"","high","690.0","468.0","4,813.2","31.7","11.3","60.5","274.5","3.6","0.4","342.0"
"","low","591.1","397.5","4,305.3","29.0","15.9","55.0","173.0","1.0","3.8","296.2"
"Deshaun Watson","CLE","499.8","324.4","3,872.4","24.8","11.0","100.9","507.5","4.5","1.8","317.3"
"","high","544.0","342.0","4,021.6","28.1","9.0","113.3","552.0","7.0","0.5","338.0"
"","low","474.5","315.1","3,758.3","22.8","15.0","84.5","443.2","3.2","3.4","297.3"
"Dak Prescott","DAL","551.4","362.6","4,124.5","29.5","13.9","59.8","261.9","2.6","3.1","304.8"
"","high","580.3","378.4","4,218.9","32.0","12.9","66.0","304.6","3.1","1.8","315.0"
"","low","536.6","353.2","3,891.0","26.4","16.0","55.1","218.3","2.0","3.7","281.8"
"Trevor Lawrence","JAC","580.2","380.2","4,094.2","27.5","12.6","60.8","280.2","4.1","5.2","303.3"
"","high","595.9","395.1","4,329.7","30.0","9.1","63.7","305.1","6.8","1.8","319.0"
"","low","562.9","363.3","3,894.7","26.1","14.6","55.8","250.4","2.9","8.0","282.3"
"Kirk Cousins","MIN","592.5","395.7","4,463.4","30.4","12.4","31.3","90.3","1.6","2.8","300.8"
"","high","636.0","429.0","4,619.0","31.8","9.9","41.6","102.4","2.0","0.7","338.0"
"","low","508.2","346.9","4,147.6","28.0","14.0","23.0","63.8","0.9","4.2","285.1"
"Daniel Jones","NYG","519.2","337.8","3,494.3","20.9","10.7","107.4","636.2","5.1","4.1","298.5"
"","high","540.8","355.2","3,629.8","22.0","9.0","122.0","750.8","5.7","1.9","313.0"
"","low","509.8","329.8","3,315.0","19.6","11.9","91.1","553.9","4.0","6.9","269.0"
"Geno Smith","SEA","533.3","363.4","4,011.0","26.9","11.6","59.8","322.0","2.2","3.5","294.7"
"","high","581.6","391.1","4,258.9","28.9","8.8","64.0","366.5","4.0","1.6","305.5"
"","low","467.7","328.1","3,649.8","25.2","13.0","55.4","274.9","1.0","4.2","271.6"
"Russell Wilson","DEN","512.7","323.9","3,815.7","24.3","10.6","64.6","328.6","2.8","2.1","284.2"
"","high","552.8","353.4","3,977.2","27.8","8.6","66.0","355.0","4.0","0.4","302.0"
"","low","447.8","286.7","3,441.3","22.0","13.0","63.4","295.9","1.8","3.8","253.3"
"Tua Tagovailoa","MIA","544.0","356.8","4,161.8","27.4","12.6","43.9","136.2","1.6","1.8","283.1"
"","high","595.6","384.6","4,462.4","31.1","10.6","60.4","165.7","2.6","1.0","298.0"
"","low","488.7","327.4","3,917.7","25.0","15.0","32.1","105.0","1.0","3.9","252.7"
"Aaron Rodgers","NYJ","551.6","356.5","4,042.5","28.1","8.0","35.3","125.0","1.6","2.6","283.0"
"","high","610.0","377.0","4,377.0","29.8","6.0","41.0","163.3","2.0","1.3","315.0"
"","low","487.8","326.8","3,698.1","25.0","10.4","30.0","83.0","1.2","3.7","270.5"
"Jared Goff","DET","573.0","376.0","4,238.8","27.9","11.0","30.8","81.4","1.2","3.5","278.6"
"","high","600.5","389.7","4,443.4","30.6","7.0","35.7","90.5","1.6","1.3","332.0"
"","low","554.2","365.0","3,933.4","24.1","13.3","22.7","69.4","1.0","4.9","244.2"
"Anthony Richardson","IND","499.2","310.6","3,271.7","18.8","13.7","140.3","599.9","4.1","2.3","272.3"
"","high","581.9","378.8","4,308.4","27.3","11.1","200.0","1,039.0","5.9","0.7","296.0"
"","low","443.8","268.4","2,896.0","15.6","19.0","80.8","145.0","1.5","3.8","182.9"
"Derek Carr","NO","514.2","341.6","4,018.4","24.2","11.8","34.2","117.9","1.2","2.6","259.4"
"","high","538.0","357.1","4,198.7","26.6","10.9","34.4","155.4","2.5","0.6","267.7"
"","low","492.0","326.0","3,856.0","23.1","13.0","34.0","81.7","0.0","4.3","238.6"
"Jordan Love","GB","551.9","350.8","3,862.6","23.6","14.8","41.1","165.2","1.6","2.6","254.8"
"","high","602.5","382.7","4,298.5","25.7","12.5","55.6","248.7","2.3","1.0","268.2"
"","low","500.3","315.6","3,525.0","19.8","17.8","16.0","43.0","0.0","4.8","212.1"
"Kenny Pickett","PIT","501.8","318.2","3,307.1","17.2","12.5","68.1","450.3","3.9","1.5","254.0"
"","high","570.0","369.0","3,745.0","21.8","9.2","78.0","1,047.9","7.9","0.7","270.0"
"","low","397.1","233.1","2,209.1","4.9","15.0","58.8","264.8","2.6","3.1","231.6"
"Matthew Stafford","LAR","524.4","347.6","3,947.3","23.9","13.2","31.4","75.3","1.0","2.8","248.1"
"","high","560.5","372.3","4,285.1","25.8","10.6","38.2","121.1","1.3","1.0","256.0"
"","low","488.8","323.9","3,555.0","20.7","17.0","27.1","52.0","0.8","4.0","233.0"
"Brock Purdy","SF","435.7","287.2","3,396.0","24.3","10.0","38.4","121.6","2.3","1.4","246.0"
"","high","542.0","351.2","3,738.3","26.0","6.7","41.4","216.5","3.3","0.8","286.0"
"","low","356.0","242.4","2,987.8","18.8","13.3","35.2","44.0","1.3","2.0","201.3"
"Bryce Young","CAR","528.3","331.3","3,663.5","20.9","13.4","53.4","207.9","1.7","2.3","243.2"
"","high","546.8","350.4","3,851.0","23.6","12.0","73.1","284.7","2.0","0.9","251.0"
"","low","510.0","307.0","3,563.4","17.9","15.7","32.0","145.0","1.0","3.9","206.7"
"Jimmy Garoppolo","LV","482.6","317.9","3,539.2","21.2","11.9","30.9","71.6","1.6","2.3","226.6"
"","high","576.4","380.9","3,888.0","25.3","11.0","34.2","134.7","2.0","1.0","250.1"
"","low","383.2","257.1","3,222.1","18.0","13.0","25.0","40.0","1.1","3.5","187.0"
"Ryan Tannehill","TEN","450.6","294.3","3,278.2","19.4","11.7","44.6","178.2","2.6","2.1","226.3"
"","high","500.6","327.4","3,770.6","22.5","8.8","46.8","192.4","4.2","0.8","243.2"
"","low","385.9","254.7","2,843.5","17.1","19.0","40.4","152.4","1.4","3.1","192.9"
"Mac Jones","NE","502.2","328.0","3,475.4","19.5","13.6","51.3","156.0","1.2","2.1","222.0"
