"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","34.9","371.3","2.4","0.0","97.2"
"","low","7.8","78.9","0.7","1.0","22.7"
"Noah Gray","KC","20.0","222.9","1.3","0.0","40.5"
"","high","26.0","296.6","2.2","0.0","70.6"
"","low","6.9","68.5","0.0","0.1","20.6"
"Foster Moreau","NO","18.0","244.9","1.2","0.4","40.3"
"","high","28.0","381.0","2.0","0.0","65.8"
"","low","5.4","61.7","0.3","1.0","17.6"
"Donald Parham Jr.","LAC","18.2","216.5","1.5","0.0","39.9"
"","high","26.1","304.9","3.0","0.0","73.4"
"","low","8.6","94.6","0.1","0.1","22.4"
"Jonnu Smith","ATL","18.7","215.8","1.1","0.0","38.2"
"","high","24.0","303.7","2.0","0.0","57.0"
"","low","12.1","115.0","0.0","0.2","26.8"
"Robert Tonyan","CHI","18.5","210.2","1.3","0.0","38.2"
"","high","32.0","336.0","3.0","0.0","67.8"
"","low","5.7","52.8","0.5","0.0","17.7"
"Durham Smythe","MIA","20.9","202.4","1.1","0.0","37.8"
"","high","23.9","239.1","1.7","0.0","69.2"
"","low","18.3","162.7","0.0","0.1","33.9"
"Brock Wright","DET","16.8","178.0","1.9","0.0","37.7"
"","high","23.0","275.0","5.0","0.0","57.4"
"","low","11.3","126.5","0.9","0.1","27.7"
"Will Dissly","SEA","19.6","212.9","1.1","0.1","37.5"
"","high","26.8","289.7","1.8","0.0","72.0"
"","low","8.7","86.1","0.3","0.2","21.4"
"Adam Trautman","DEN","18.3","216.4","1.1","0.2","37.0"
"","high","27.9","332.9","2.3","0.0","56.7"
"","low","13.4","123.2","0.0","0.5","27.1"
"Kylen Granson","IND","18.9","212.9","0.8","0.0","36.1"
"","high","25.0","275.9","1.8","0.0","70.6"
"","low","9.6","94.1","0.0","0.0","22.3"
"Brenton Strange","JAC","20.4","186.0","1.3","0.3","36.0"
"","high","24.0","225.0","2.0","0.0","59.1"
"","low","15.4","159.0","0.4","1.0","34.1"
"Josiah Deguara","GB","20.4","189.4","1.1","0.0","35.7"
"","high","30.8","310.3","2.4","0.0","55.4"
"","low","11.2","112.1","0.0","0.1","25.5"
"C.J. Uzomah","NYJ","17.1","181.1","1.3","0.0","34.2"
"","high","25.0","261.0","3.0","0.0","66.0"
"","low","3.8","35.4","0.0","0.1","14.0"
"Harrison Bryant","CLE","17.5","181.2","1.1","0.2","32.9"
"","high","23.0","240.8","1.7","0.0","65.0"
"","low","6.9","68.1","0.5","0.7","18.4"
"Brevin Jordan","HOU","16.0","208.1","0.6","0.0","32.1"
"","high","16.0","264.1","1.1","0.0","50.5"
"","low","16.0","152.2","0.0","0.0","29.9"
"Jordan Akins","CLE","14.8","191.2","1.0","0.1","32.0"
"","high","33.8","415.2","2.5","0.0","97.5"
"","low","5.2","57.7","0.0","0.5","15.2"
"Jimmy Graham","NO","15.6","170.1","1.0","0.1","31.0"
"","high","27.2","317.4","2.2","0.0","80.2"
"","low","9.0","106.0","0.4","0.1","21.2"
"Josh Oliver","MIN","15.6","156.1","1.2","0.0","30.4"
"","high","26.0","270.0","3.0","0.0","44.8"
"","low","4.1","36.7","0.0","0.1","13.5"
"Mo Alie-Cox","IND","12.8","166.1","1.3","0.4","30.2"
"","high","15.4","245.0","3.0","0.0","45.5"
"","low","10.2","113.7","0.5","1.0","23.4"
"Tucker Kraft","GB","14.6","170.0","1.0","0.3","29.9"
"","high","23.0","266.5","2.0","0.0","50.5"
"","low","3.8","39.1","0.3","1.0","13.0"
"Tommy Tremble","CAR","15.2","144.1","1.4","0.4","29.7"
"","high","22.0","200.1","3.0","0.0","57.7"
"","low","7.2","68.4","0.5","1.0","17.7"
"Ian Thomas","CAR","16.6","161.6","0.7","0.0","28.7"
"","high","22.0","210.0","1.0","0.0","36.0"
"","low","12.0","108.3","0.0","0.1","27.3"
"Colby Parkinson","SEA","13.5","161.0","0.8","0.0","27.7"
"","high","19.5","225.7","1.5","0.0","57.9"
"","low","8.3","81.6","0.0","0.1","17.8"
"Elijah Higgins","MIA","11.0","173.4","0.7","0.1","26.9"
"","high","11.0","174.0","1.0","0.0","34.3"
"","low","11.0","172.7","0.4","0.1","21.5"
"Teagan Quitoriano","HOU","12.3","145.4","1.0","0.1","26.6"
"","high","21.0","255.0","2.0","0.0","36.2"
"","low","3.6","36.4","0.2","0.1","11.4"
"Daniel Bellinger","NYG","12.4","158.3","0.8","0.3","26.2"
"","high","19.9","335.3","1.4","0.0","58.9"
"","low","7.5","66.1","0.4","1.2","15.6"
"Blake Bell","KC","11.4","110.1","1.2","0.0","26.0"
"","high","16.4","165.6","2.0","0.0","33.1"
"","low","4.5","45.9","0.4","0.1","16.9"
"Geoff Swaim","ARI","20.9","110.4","0.7","0.0","25.7"
"","high","20.9","174.2","1.4","0.0","36.3"
"","low","20.9","46.7","0.0","0.0","19.5"
"Darnell Washington","PIT","11.7","160.6","0.7","0.3","25.6"
"","high","19.0","299.5","1.0","0.0","54.4"
"","low","7.5","78.5","0.6","1.0","17.2"
"Lawrence Cager","NYG","11.5","134.0","1.0","0.0","25.5"
"","high","13.0","175.0","1.1","0.0","42.9"
"","low","10.0","93.0","1.0","0.0","15.8"
"Eric Saubert","MIA","13.7","130.3","0.9","0.0","25.3"
"","high","15.7","157.4","1.5","0.0","34.5"
"","low","11.0","98.2","0.0","0.1","16.9"
"Charlie Kolar","BAL","11.8","138.3","0.8","0.0","24.8"
"","high","18.7","223.4","1.2","0.0","54.4"
"","low","6.8","68.9","0.4","0.1","15.9"
"Brycen Hopkins","LAR","11.6","134.0","0.8","0.0","24.0"
"","high","15.3","161.8","1.2","0.0","44.7"
"","low","8.0","86.9","0.4","0.1","17.6"
"Payne Durham","TB","13.9","129.4","0.7","0.4","23.8"
"","high","20.0","177.0","1.0","0.0","30.4"
"","low","7.9","74.0","0.4","1.0","21.0"
"Albert Okwuegbunam","DEN","8.8","146.3","0.8","0.3","23.6"
"","high","10.0","262.9","1.0","0.0","50.3"
"","low","7.5","76.1","0.6","0.5","14.4"
"Peyton Hendershot","DAL","9.2","121.0","1.0","0.1","23.1"
"","high","11.5","232.8","2.0","0.0","42.4"
"","low","6.5","72.0","0.4","0.2","16.8"
"Brayden Willis","SF","10.0","109.0","1.0","0.0","21.9"
"","high","10.0","109.0","1.0","0.0","15.0"
"","low","10.0","109.0","1.0","0.0","15.0"
"Hunter Long","LAR","10.3","125.6","0.7","0.1","21.8"
"","high","20.2","218.4","1.4","0.0","35.5"
"","low","3.4","33.8","0.4","0.1","14.8"
"Cameron Latu","SF","11.1","116.3","0.8","0.0","21.8"
"","high","15.2","137.3","1.0","0.0","39.5"
"","low","8.2","86.6","0.4","0.1","15.6"
"John Bates","WAS","11.7","121.3","0.6","0.0","21.8"
